penalty_id,provision_id,type,monetary_amount,custodial_sanction,text,source_document
PEN-01,S13-2-a,criminal penalty,"a fine of at least N10,000,000",imprisonment for a term not more than three years,"in the case of a contravention of paragraph (b), a fine of at least N10,000,000 or imprisonment for a term not more than three years, or both","Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
PEN-02,S13-2-b,criminal penalty,"a fine of at least N5,000,000",imprisonment for a term not more than two years,"in the case of a contravention of paragraph (d), a fine of at least N5,000,000, or imprisonment for a term not more than two years, or both","Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
PEN-03,S48-4,administrative penalty (higher maximum amount),"the greater of N10,000,000 and 2% of its annual gross revenue in the preceding financial year",,"The ""higher maximum amount"" shall be the greater of — (a) N10,000,000, and (b) 2% of its annual gross revenue in the preceding financial year.","Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
PEN-04,S48-5,administrative penalty (standard maximum amount),"the greater of N2,000,000 and 2% of its annual gross revenue in the preceding financial year",,"The ""standard maximum amount"" shall be the greater of — (a) N2,000,000, and (b) 2% of its annual gross revenue in the preceding financial year.","Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
PEN-05,S49-1,offence — failure to comply with an order made under section 47,a fine of up to the higher maximum amount (data controller or data processor of major importance) or the standard maximum amount (not of major importance),imprisonment for a term not more than one year or both,"A data controller or data processor, who fails to comply with orders made under section 47 of this Act commits an offence and is liable on conviction to — (a) a fine of up to the — (i) higher maximum amount, in the case of a data controller or data processor of major importance, or (ii) standard maximum amount, in the case of a data controller or data processor not of major importance; or (b) imprisonment for a term not more than one year or both.","Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
PEN-06,A10-9,administrative penalty — late filing of Compliance Audit Returns,50% of the stipulated CAR filing fee,,"Where a data controller or data processor fails to file its CAR as and when due, it shall pay, in addition to the stipulated filing fee, an administrative penalty, which shall be 50% of the stipulated CAR filing fee.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
PEN-07,A10-10-a,fee — CAR filing (MDP-UHL),"N20,000",,"Major Data Processing-Ultra High Level (MDP-UHL) shall pay N20,000","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
PEN-08,A10-10-b,fee — CAR filing (MDP-EHL),"N10,000",,"Major Data Processing-Extra High Level (MDP-EHL) shall pay N10,000","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
PEN-09,A14-6,fee — DPO credential assessment,"N2,000 (Two thousand naira) annually",,"The fee for a DPO's credential assessment shall be N2,000 (Two thousand naira) annually.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
