articleitem_id,item_label,parent_id,parent_type,article_number,reference,text,source_document
A12-2-c,c,A12-2,SubArticle,12,Article 12(2)(c),Make adequate provision for continuous training for the DPO.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-a,a,A13-5,SubArticle,13,Article 13(5)(a),Principles of data protection as applicable to the processing activities of the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-b,b,A13-5,SubArticle,13,Article 13(5)(b),Lawful basis of data processing as applicable to the processing activities of the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-c,c,A13-5,SubArticle,13,Article 13(5)(c),The need for DPIA where it is applicable to the processing activities of the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-d,d,A13-5,SubArticle,13,Article 13(5)(d),Legitimate Interest Assessment (LIA) as applicable to the processing activities of the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-e,e,A13-5,SubArticle,13,Article 13(5)(e),Ease of data subjects in exercising their rights.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-f,f,A13-5,SubArticle,13,Article 13(5)(f),Data subjects' complaints and remediation (if any).,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-g,g,A13-5,SubArticle,13,Article 13(5)(g),Notices issued by the Commission (if any).,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-h,h,A13-5,SubArticle,13,Article 13(5)(h),"Guidance sought from the DPCO, if any.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-i,i,A13-5,SubArticle,13,Article 13(5)(i),Assessment of data security.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-j,j,A13-5,SubArticle,13,Article 13(5)(j),Information contained in the privacy notices which may be relied upon by data subjects.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-k,k,A13-5,SubArticle,13,Article 13(5)(k),Legal grounds for cross-border data transfer.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5-l,l,A13-5,SubArticle,13,Article 13(5)(l),Breach notification to the Commission and to data subjects.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-a,a,A15-1,SubArticle,15,Article 15(1)(a),"Fairness, lawfulness and transparency of data processing,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-b,b,A15-1,SubArticle,15,Article 15(1)(b),"Purpose limitation,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-c,c,A15-1,SubArticle,15,Article 15(1)(c),"Data minimisation and ethics,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-d,d,A15-1,SubArticle,15,Article 15(1)(d),"Storage limitation,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-e,e,A15-1,SubArticle,15,Article 15(1)(e),"Data accuracy,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-f,f,A15-1,SubArticle,15,Article 15(1)(f),"Data confidentiality, integrity and availability,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-g,g,A15-1,SubArticle,15,Article 15(1)(g),"Accountability, and","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1-h,h,A15-1,SubArticle,15,Article 15(1)(h),Duty of care.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-a,a,A16-2,SubArticle,16,Article 16(2)(a),Consent,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-b,b,A16-2,SubArticle,16,Article 16(2)(b),Contractual Obligation,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-c,c,A16-2,SubArticle,16,Article 16(2)(c),Legal Obligation,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-d,d,A16-2,SubArticle,16,Article 16(2)(d),Vital Interest,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-e,e,A16-2,SubArticle,16,Article 16(2)(e),Public Interest,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2-f,f,A16-2,SubArticle,16,Article 16(2)(f),Legitimate Interest.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-a,a,A17-3,SubArticle,17,Article 17(3)(a),The clear and present risk to fundamental rights and freedoms of the data subject and third parties;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-b,b,A17-3,SubArticle,17,Article 17(3)(b),The security implication;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-c,c,A17-3,SubArticle,17,Article 17(3)(c),Public welfare;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-d,d,A17-3,SubArticle,17,Article 17(3)(d),The need for efficacy in the administration of justice - taking into account the need to;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-e,e,A17-3,SubArticle,17,Article 17(3)(e),Sustainable development;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-f,f,A17-3,SubArticle,17,Article 17(3)(f),Prior relationship between the data controller and the data subject,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-g,g,A17-3,SubArticle,17,Article 17(3)(g),Proportionality and necessity of the scope of the processing.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-7-a,a,A17-7,SubArticle,17,Article 17(7)(a),"Provide appropriate information to the data subject such that the data subject, on the basis of the information, may make an informed decision;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-7-b,b,A17-7,SubArticle,17,Article 17(7)(b),Make the process of withdrawal of consent as easy as giving consent; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-7-c,c,A17-7,SubArticle,17,Article 17(7)(c),Ensure that denial of consent is not detrimental to the rights and interests of the data subject.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-8-a,a,A17-8,SubArticle,17,Article 17(8)(a),"A data subject's acts of participation in a public event and the images taken in that event may be used for a report of that event – provided that such images shall not be used for profit or commerce-oriented advertisement without the express consent of the data subject. A data controller in this circumstance shall ensure that the images captured do not portray data subjects in a bad light. In addition to other measures of duty of care, a data controller may put participants on notice that images captured may be used for reporting, journalistic or other purposes permitted by the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-8-b,b,A17-8,SubArticle,17,Article 17(8)(b),A data subject's act of closing a privacy notice displayed on the centre of a webpage and which notice significantly obstructs the viewing of the webpage (provided that the data collected in such circumstances is limited to processing of personal data which is necessary to basic functionality of the website). Basic functionality means such functions that permit the website to respond to and analyse the interactions of the data subject with the website.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-a,a,A18-1,SubArticle,18,Article 18(1)(a),For any direct marketing activity;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-b,b,A18-1,SubArticle,18,Article 18(1)(b),For the processing of sensitive personal data;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-c,c,A18-1,SubArticle,18,Article 18(1)(c),For further processing;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-d,d,A18-1,SubArticle,18,Article 18(1)(d),For the processing of the personal data of a minor;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-e,e,A18-1,SubArticle,18,Article 18(1)(e),Before personal data may be transferred to a country which is not in the whitelist of Countries published by the Commission from time to time; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1-f,f,A18-1,SubArticle,18,Article 18(1)(f),Before the data controller makes a decision based solely on automated processing which produces legal or socio-economic effects concerning or significantly affecting the data subject.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6-a,a,A19-6,SubArticle,19,Article 19(6)(a),Make cookies notice and display the notice conspicuously;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6-b,b,A19-6,SubArticle,19,Article 19(6)(b),Make cookie information clear and easy to understand;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6-c,c,A19-6,SubArticle,19,Article 19(6)(c),Notify users of the presence and purpose of the cookies;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6-d,d,A19-6,SubArticle,19,Article 19(6)(d),Identify the organisation responsible for the use of the cookies; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6-e,e,A19-6,SubArticle,19,Article 19(6)(e),Provide information on how to withdraw consent from the use of the cookies.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A20-1-i,i,A20-1,SubArticle,20,Article 20(1)(i),"Lawful under the NDP Act,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A20-1-ii,ii,A20-1,SubArticle,20,Article 20(1)(ii),"Not in violation of other legislations for the time being in force in Nigeria, and","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A20-1-iii,iii,A20-1,SubArticle,20,Article 20(1)(iii),Not in violation of preemptory norms of general International Law.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1-a,a,A22-1,SubArticle,22,Article 22(1)(a),"Fraud,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1-b,b,A22-1,SubArticle,22,Article 22(1)(b),"Undue influence,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1-c,c,A22-1,SubArticle,22,Article 22(1)(c),"Coercion,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1-d,d,A22-1,SubArticle,22,Article 22(1)(d),"Violation of natural justice, or","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1-e,e,A22-1,SubArticle,22,Article 22(1)(e),Manifest inequity and prejudice to the dignity of the human person.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-1-a,a,A23-1,SubArticle,23,Article 23(1)(a),a specific duty imposed by law;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-1-b,b,A23-1,SubArticle,23,Article 23(1)(b),an order of a court of competent jurisdiction; or,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-1-c,c,A23-1,SubArticle,23,Article 23(1)(c),a responsibility incidental to an obligation imposed by law to carry out an act which requires the processing of personal data.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-3-i,i,A23-3,SubArticle,23,Article 23(3)(i),"it is in the interest of defence, public safety, public order, public morality or public health; or","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-3-ii,ii,A23-3,SubArticle,23,Article 23(3)(ii),"for the purpose of protecting the rights and freedom of other persons; accordingly, account shall be taken of practices in a democratic society where the rule of law is firmly entrenched.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5-a,a,A23-5,SubArticle,23,Article 23(5)(a),The affected data subject;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5-b,b,A23-5,SubArticle,23,Article 23(5)(b),The Commission;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5-c,c,A23-5,SubArticle,23,Article 23(5)(c),The concerned data controller or data processor;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5-d,d,A23-5,SubArticle,23,Article 23(5)(d),A non-governmental organisation in the field of human rights advocacy; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5-e,e,A23-5,SubArticle,23,Article 23(5)(e),The media.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6-a,a,A23-6,SubArticle,23,Article 23(6)(a),The legal competence of the authority demanding the processing of personal data under a legal obligation;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6-b,b,A23-6,SubArticle,23,Article 23(6)(b),The measures provided for the protection of personal data in accordance with the principles of data protection set forth in Section 24 of the NDP Act;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6-c,c,A23-6,SubArticle,23,Article 23(6)(c),"The scope of the processing as contained in a competent order, warrant or administrative directive;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6-d,d,A23-6,SubArticle,23,Article 23(6)(d),Access of the data subject to applicable data subjects' rights in accordance with Part VI of the NDP Act; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6-e,e,A23-6,SubArticle,23,Article 23(6)(e),The enforceability of data subjects' right against unfair data processing – considering the principle of necessity and proportionality.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-1-a,a,A24-1,SubArticle,24,Article 24(1)(a),The necessity of processing of personal data – taking into consideration the risks and alternatives forgone;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-1-b,b,A24-1,SubArticle,24,Article 24(1)(b),"The duty of care and the standard of care employed to mitigate unnecessary, disproportionate risks of data processing;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-1-c,c,A24-1,SubArticle,24,Article 24(1)(c),The functional opportunity of redress accessible to an aggrieved person in accordance with Part 10 of the NDP Act and the Fundamental Rights Enforcement Procedure Rules for the time being in force;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-1-d,d,A24-1,SubArticle,24,Article 24(1)(d),The proportionality of the processing of personal data in terms of the scope of measures adopted or intended to be adopted for the processing of personal data – particularly avoiding the setting of precedents which are prejudicial to fundamental rights and freedoms and also deterring any data processing that may undermine the adequacy of data protection afforded within the Federal Republic of Nigeria.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-2-a,a,A25-2,SubArticle,25,Article 25(2)(a),The processing is necessary for the preservation or protection of life or livelihood and failure or refusal to act may be harmful to the data subject or a third party;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-2-b,b,A25-2,SubArticle,25,Article 25(2)(b),"There is a legitimate expectation based on relationship or connection, operation of law, convention or prevailing norms that personal data should be processed in such circumstances of vital interest; and","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-2-c,c,A25-2,SubArticle,25,Article 25(2)(c),"The data controller or data processor may be called into question as being negligent, unprofessional or reckless for failing to carry out the data processing in such adverse circumstances in which a vital interest is in jeopardy.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
