articleitem_id,item_label,parent_id,parent_type,article_number,reference,text,source_document
A5-4-e,e,A5-4,SubArticle,5,Article 5(4)(e),Proportionality and necessity of the data processing in relation to the affected data subject's right to privacy; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-4-f,f,A5-4,SubArticle,5,Article 5(4)(f),The opportunity given to data subjects to lodge a complaint with the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2-a,a,A6-2,SubArticle,6,Article 6(2)(a),Permission granted to data controllers or data processors to access contacts on phones through the use of software or digital applications;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2-b,b,A6-2,SubArticle,6,Article 6(2)(b),Sharing or transferring personal data to any person or platform for any reason;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2-c,c,A6-2,SubArticle,6,Article 6(2)(c),Lack of duty of care in handling any device which stores personal data;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2-d,d,A6-2,SubArticle,6,Article 6(2)(d),Verbal or written disclosure of personal data; and,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2-e,e,A6-2,SubArticle,6,Article 6(2)(e),Unauthorised access to personal data of any person.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-a,a,A7,Article,7,Article 7(a),Register with the Commission as a data controller or data processor of major importance as the Commission may determine in accordance with the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-b,b,A7,Article,7,Article 7(b),Conduct a NDP Act compliance audit within eighteen (18) months of commencement of business and thereafter on an annual basis;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-c,c,A7,Article,7,Article 7(c),"In the case of data controllers and data processors of major importance (Ultra High Level and Extra-High Level as defined in Article 8 of this NDP Act-GAID), file NDP Act Compliance Audit Returns with the Commission not later than the 31st of March of each year;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-d,d,A7,Article,7,Article 7(d),Identify all its obligations under the NDP Act and prepare schedules of compliance;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-e,e,A7,Article,7,Article 7(e),Prepare and keep semi-annual data protection reports which shall be a detailed analysis of data processing within six (6) months;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-f,f,A7,Article,7,Article 7(f),"Prepare and follow Schedules on Monitoring Evaluation and Maintenance of Data Security System in order to guarantee data confidentiality, integrity and availability;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-g,g,A7,Article,7,Article 7(g),"Prepare and follow schedules on organisation-wide, internal sensitisation and training protection on privacy in order to develop a culture of compliance with the NDP Act and best practices on data protection and privacy;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-h,h,A7,Article,7,Article 7(h),Identify all obligations relating to data controllers or data processors under the NDP Act and prepare schedules of compliance;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-i,i,A7,Article,7,Article 7(i),"In the case of a data controller or data processor of major importance, designate a Data Protection Officer (DPO). Associate DPOs/Privacy Champions may be designated to support the DPO where the data controller or the data processor carries out data processing or interfaces with data subjects on multiple platforms and places;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-j,j,A7,Article,7,Article 7(j),"Develop or review its organisational privacy policies, the privacy policy shall be in compliance with the NDP Act;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-k,k,A7,Article,7,Article 7(k),Publish its organisational privacy policies on its platforms with a view to sensitising data subjects to data processing activities as well as rights and duties in connection therewith;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A7-l,l,A7,Article,7,Article 7(l),Provide privacy and cookie notices at the homepage of its website. The cookie notice should give a data subject the opportunity to decline or accept the notice;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
