directivedefinition_id,term,definition,defined_in,source_document
GDEF-01,appreciation of outcomes,means a systematic analysis of the effect or result of data processing.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-02,basic privacy checklist,means a simple list of steps a worker should take when dealing with personal data.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-03,data protection officer,"is a certified professional who ensures, in an independent manner, that an organisation applies and complies with the laws relating to processing individual's personal data.",Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-04,data subject access request,"is a request directed to the organisation by a data subject, granting the data subject the right to access information about personal data the organisation is processing.",Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-05,disparate outcome or disparate impact,means an adverse effect of carrying out an appropriate task. The task becomes inappropriate and unlawful if it could result in a disparate outcome.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-06,domiciliation,"means the state of living or permanently residing in a place. Domiciliation of a data controller or data processor outside Nigeria does not mean an exemption from the obligations imposed by the NDP Act or any regulatory instruments issued under the NDP Act. The major point is in data processing; if the data subject is in Nigeria, then the NDP Act protects him or her.",Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-07,duly certified,means certified by an institution that is accredited or approved by a competent authority in data privacy protection or in educational services.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-08,infraction,means any degree of violation of the law or a regulatory instrument.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-09,interface with,means communication with a data subject involving the processing of personal data.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
GDEF-10,interoperable data privacy measures,are essentially tools and approaches that ensure different data protection laws and frameworks work together seamlessly.,Article 53,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
