coveragetype_id,name,text,source_document
COV1,Statement coverage,Statement coverage requires that each program statement be executed at least once. Branch and MC/DC coverage encompass statement coverage.,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
COV2,Branch coverage,Branch coverage ensures that each decision branch (if-then-else constructs) is executed.,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
COV3,Modified condition/decision coverage (MC/DC),"Modified condition/decision coverage (MC/DC) requires the most complete code coverage to ensure test cases execute each decision branch and all the possible combinations of inputs that affect the outcome of decision logic. For complex logic, the number of test cases can explode, so the modified condition restrictions are used to limit test cases to those that result in standalone logical expressions changing.",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
COV4,Executable/object code,"Executable/object code is required if the software level criteria is at A. This is due to the fact that a compiler or linker generates additional assembly code that is not directly traceable to source code statements. Therefore, object level coverage must be performed.",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
