lifecycledata_id,name,source_document
LCD01,Plan for software aspects of certification,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD02,Software development plan,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD03,Software verification plan,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD04,Software configuration management plan,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD05,Software quality assurance plan,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD06,Software requirements standards,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD07,Software design standards,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD08,Software code standards,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD09,Software requirements data,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD10,Design description,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD11,Source code,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD12,Executable object code,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD13,Software verification cases and procedures,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD14,Software verification results,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD15,Software life cycle environment configuration index,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD16,Software configuration index,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD17,Problem reports,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD18,Software configuration management records,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD19,Software quality assurance records,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD20,Software accomplishment summary,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD21,Trace data,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
LCD22,Parameter data item file,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
