definition_id,term,definition_text,defined_in_section_id,source_document
DEF1,Certification,"“'Certification' applies to aircraft, engines, or propellers; and, in respect of some certification authorities, auxiliary power units. The certification authorities consider the software as part of the airborne system or equipment installed on the certified product; that is, the certification authorities do not certify the software as a unique, stand-alone product.”",S022,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF2,Requirements traceability,"Requirements traceability is defined as “the ability to describe and follow the life of a requirement in both a forwards and backwards direction (i.e., from its origins, through its development and specification, to its subsequent deployment and use, and through periods of on-going refinement and iteration in any of these phases).”",S081,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF3,Avionics,"Avionics is an assembly of electronics subsystems integrated onboard freighter aircraft, military aircraft, business jets, and other private-owned, chartered, and unscheduled aircraft.",S012,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF4,Open systems architecture,"Open systems architecture is a system design approach that aims to produce systems, such as software and hardware, that are inherently interoperable and connectable without recourse to retrofit and redesign.",S003,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF5,Digital twin,The use of a virtual representation or virtual model of a physical system that mimics the functionalities of the actual hardware and software is referred to as a “digital twin.”,S007,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF6,Tool qualification,The process of providing such evidence is known as tool qualification.,S085,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF7,Static code analysis,Static code analysis is the analysis of code without actual code execution.,S026,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF8,Code coverage,"Code coverage expresses the degree to which the application's source code is exercised by all testing practices, including unit, integration, and system testing—both automated and manual.",S061,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF9,Requirement traceability matrix,"A requirement traceability matrix is an artifact or document that illustrates the linking of requirements with corresponding work items, like a unit test, module source code, architecture design element, other requirements, and so on.",S082,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF10,Instrumented,"Instrumented refers to having the user code adorned with additional code to ascertain during execution if that statement, branch, or MC/CD has been executed.",S077,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF11,Service virtualization,Service virtualization simulates all of the dependencies needed by the device under test in order to perform full system testing.,S068,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
DEF12,Test impact analysis,This form of smart test execution is called test impact analysis. It's sometimes referred to as change-based testing.,S052,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
