guidanceelement_id,text,source_document
GE1,Objectives for software life cycle processes,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
GE2,Activities that provide a means for satisfying those objectives,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
GE3,Descriptions of the evidence in the form of software life cycle data that indicate that the objectives have been satisfied,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
GE4,"Variations in the objectives, independence, software life cycle data, and control categories by software level",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
GE5,"Additional considerations (for example, previously developed software) that are applicable to certain applications",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
GE6,Definition of terms provided in the glossary,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
