toolcriterion_id,name,text,source_document
TC1,Criteria 1,A tool whose output is part of the airborne software and thus could insert an error.,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TC2,Criteria 2,"A tool that automates verification processes and thus could fail to detect an error, and whose output is used to justify the elimination or reduction of: Verification processes other than that automated by the tool, or Development processes that could have an impact on the airborne software.",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TC3,Criteria 3,"A tool that, within the scope of its intended use, could fail to detect an error.",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
