criterion_id,ref,series,coso_principle,text,source_document
CRIT-CC1.1,CC1.1,CC1,COSO Principle 1,The entity demonstrates a commitment to integrity and ethical values.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC1.2,CC1.2,CC1,COSO Principle 2,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC1.3,CC1.3,CC1,COSO Principle 3,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC1.4,CC1.4,CC1,COSO Principle 4,"The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC1.5,CC1.5,CC1,COSO Principle 5,The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC2.1,CC2.1,CC2,COSO Principle 13,"The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC2.2,CC2.2,CC2,COSO Principle 14,"The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC2.3,CC2.3,CC2,COSO Principle 15,The entity communicates with external parties regarding matters affecting the functioning of internal control.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC3.1,CC3.1,CC3,COSO Principle 6,The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC3.2,CC3.2,CC3,COSO Principle 7,The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC3.3,CC3.3,CC3,COSO Principle 8,The entity considers the potential for fraud in assessing risks to the achievement of objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC3.4,CC3.4,CC3,COSO Principle 9,The entity identifies and assesses changes that could significantly impact the system of internal control.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC4.1,CC4.1,CC4,COSO Principle 16,"The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
