stakeholdergroup_id,name,count,note,slide_id,source_document
stk_agencies,Federal Agencies,221,,slide_07,KB 2/USA/FedRAMP.pdf
stk_csp,Cloud Service Providers (CSPs),300+,* Including 61 small businesses,slide_07,KB 2/USA/FedRAMP.pdf
stk_3pao,Third Party Assessment Organizations (3PAOs),40,,slide_07,KB 2/USA/FedRAMP.pdf
