responsibility_id,governancebody_id,text,slide_id,source_document
resp_01,body_dhs,US-CERT Incident Coordination,slide_05,KB 2/USA/FedRAMP.pdf
resp_02,body_dhs,Continuous Monitoring Data Analysis,slide_05,KB 2/USA/FedRAMP.pdf
resp_03,body_dhs,Issuance of Binding Operational Directives,slide_05,KB 2/USA/FedRAMP.pdf
resp_04,body_cio_council,Cross Agency Coordination,slide_05,KB 2/USA/FedRAMP.pdf
resp_05,body_nist,FISMA Standards,slide_05,KB 2/USA/FedRAMP.pdf
resp_06,body_nist,Technical Advisors,slide_05,KB 2/USA/FedRAMP.pdf
resp_07,body_nist,Technical Specifications,slide_05,KB 2/USA/FedRAMP.pdf
