worklane_id,name,slide_id,source_document
wl_pmo_ops,PMO Operations,slide_08,KB 2/USA/FedRAMP.pdf
wl_agency_eng,Agency Engagement,slide_08,KB 2/USA/FedRAMP.pdf
wl_3pao_perf,3PAO Performance,slide_08,KB 2/USA/FedRAMP.pdf
wl_jab_auth,JAB Authorizations,slide_08,KB 2/USA/FedRAMP.pdf
wl_priority,Priority Projects,slide_08,KB 2/USA/FedRAMP.pdf
wl_training,Training & Outreach,slide_08,KB 2/USA/FedRAMP.pdf
