changetheme_id,name,fiscal_year,slide_id,source_document
chg_legislation,Operationalizing Legislation,FY23,slide_11,KB 2/USA/FedRAMP.pdf
chg_funding,Increase in Funding,FY23,slide_11,KB 2/USA/FedRAMP.pdf
chg_rev5,Rev 5 Transition,FY23,slide_11,KB 2/USA/FedRAMP.pdf
chg_modernize,Modernize baselines External/3rd Party Services,FY23,slide_11,KB 2/USA/FedRAMP.pdf
