authorizationpath_id,name,route,slide_id,source_document
path_jab_pato,Joint Authorization Board Provisional Authority to Operate (P-ATO),JAB,slide_06,KB 2/USA/FedRAMP.pdf
path_agency_ato,Agency Authority to Operate (ATO),Agency,slide_06,KB 2/USA/FedRAMP.pdf
