governancebody_id,name,kind,slide_id,source_document
body_fsca,Federal Secure Cloud Advisory Committee,Advisory committee,slide_05,KB 2/USA/FedRAMP.pdf
body_jab,FedRAMP BOARD,Board,slide_05,KB 2/USA/FedRAMP.pdf
body_pmo,FedRAMP PMO,Program Management Office,slide_05,KB 2/USA/FedRAMP.pdf
body_omb,Office of Management and Budget,Agency,slide_05,KB 2/USA/FedRAMP.pdf
body_dod,Department of Defense,Agency,slide_05,KB 2/USA/FedRAMP.pdf
body_cio_council,CIO Council,Council,slide_05,KB 2/USA/FedRAMP.pdf
body_dhs,Department of Homeland Security,Agency,slide_05,KB 2/USA/FedRAMP.pdf
body_ciso_council,CISO Council,Council,slide_05,KB 2/USA/FedRAMP.pdf
body_nist,National Institute of Standards and Technology,Standards body,slide_05,KB 2/USA/FedRAMP.pdf
body_jab_path,Joint Authorization Board,Board,slide_06,KB 2/USA/FedRAMP.pdf
