template_id,name,level,domain_code,artifact_type,sequence,template_path,stated_source_count,cited_source_count,cited_internal_document_count,source_document
DTOM-L1-ENT-POL-001,Enterprise Information Security Policy (EISP) Template,L1,ENT,POL,1,server/services/policyPersonalizer/templates/DTOM-L1-ENT-POL/DTOM-L1-ENT-POL-001 - Enterprise Information Security Policy (EISP) Template.md,26,25,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L1-ENT-POL-002,Enterprise Risk Management (ERM) Policy Template,L1,ENT,POL,2,server/services/policyPersonalizer/templates/DTOM-L1-ENT-POL/DTOM-L1-ENT-POL-002 - Enterprise Risk Management (ERM) Policy Template.md,24,23,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L1-ENT-POL-003,Acceptable Use Policy (AUP) Template,L1,ENT,POL,3,server/services/policyPersonalizer/templates/DTOM-L1-ENT-POL/DTOM-L1-ENT-POL-003 - Acceptable Use Policy (AUP) Template.md,20,19,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L1-ENT-POL-004,Code of Conduct & Ethics (CCE) Template,L1,ENT,POL,4,server/services/policyPersonalizer/templates/DTOM-L1-ENT-POL/DTOM-L1-ENT-POL-004 - Code of Conduct & Ethics (CCE) Template.md,22,21,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-AIS-POL-009,AI Safety & Security (AIS) Template,L2A,AIS,POL,9,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-AIS-POL-009 - AI Safety & Security (AIS) Template.md,42,41,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-APS-POL-003,Application Security (Secure SDLC) Template,L2A,APS,POL,3,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-APS-POL-003 - Application Security (Secure SDLC) Template.md,24,23,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-CDR-POL-005,Cyber Defence and Resilience (CDR) Template,L2A,CDR,POL,5,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-CDR-POL-005 - Cyber Defence and Resilience (CDR) Template.md,30,29,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-CPS-POL-004,Cloud and Platform Security (CPS) Template,L2A,CPS,POL,4,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-CPS-POL-004 - Cloud and Platform Security (CPS) Template.md,55,54,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-DPP-POL-006,"Data Privacy, Protection and Governance (DPP) Template",L2A,DPP,POL,6,"server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-DPP-POL-006 - Data Privacy, Protection and Governance (DPP) Template.md",46,45,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-IAM-POL-001,Identity and Access Management (IAM) Template,L2A,IAM,POL,1,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-IAM-POL-001 - Identity and Access Management (IAM) Template.md,22,21,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
