source_id,title,url,host,verbatim,template_count,first_accessed,last_accessed,source_document
src_0089f9b7a06b,NIST 800-161: Cybersecurity Supply Chain Risk Management Steps - ComplianceForge,https://complianceforge.com/compliance/nist-800-161-compliance,complianceforge.com,"NIST 800-161: Cybersecurity Supply Chain Risk Management Steps - ComplianceForge, accessed December 14, 2025, <https://complianceforge.com/compliance/nist-800-161-compliance>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_00c58a06ae42,AI Incidents Are Rising. It's Time for the United States to Build Playbooks for When AI Fails.,https://thefuturesociety.org/us-ai-incident-response/,thefuturesociety.org,"AI Incidents Are Rising. It's Time for the United States to Build Playbooks for When AI Fails., accessed December 28, 2025, <https://thefuturesociety.org/us-ai-incident-response/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_00d7b2a8c731,NIST Cybersecurity Framework: Policy Template Guide - CIS Center for Internet Security,https://www.cisecurity.org/-/media/project/cisecurity/cisecurity/data/media/files/uploads/2024/08/cis-ms-isac-nist-cybersecurity-framework-policy-template-guide-2024.pdf,www.cisecurity.org,"NIST Cybersecurity Framework: Policy Template Guide - CIS Center for Internet Security, accessed on December 14, 2025, <https://www.cisecurity.org/-/media/project/cisecurity/cisecurity/data/media/files/uploads/2024/08/cis-ms-isac-nist-cybersecurity-framework-policy-template-guide-2024.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_014c4470ae8d,ISO 31000:2018 Risk Management Guidelines,https://www.iso.org/standard/65694.html,www.iso.org,"ISO 31000:2018 Risk Management Guidelines, accessed March 9, 2026, <https://www.iso.org/standard/65694.html>",12,2026-03-09,2026-03-09,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_01ace808a67f,What is Order of Volatility? - Clocked-Out,https://clocked-out.com/what-is-order-of-volatility/,clocked-out.com,"What is Order of Volatility? - Clocked-Out, accessed December 28, 2025, <https://clocked-out.com/what-is-order-of-volatility/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_01b6528d29a4,LLM04:2025 Data and Model Poisoning - OWASP Gen AI Security Project,https://genai.owasp.org/llmrisk/llm042025-data-and-model-poisoning/,genai.owasp.org,"LLM04:2025 Data and Model Poisoning - OWASP Gen AI Security Project, accessed on December 14, 2025, <https://genai.owasp.org/llmrisk/llm042025-data-and-model-poisoning/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0233e985241d,What is Container Runtime Security? - SentinelOne,https://www.sentinelone.com/cybersecurity-101/cloud-security/container-runtime-security/,www.sentinelone.com,"What is Container Runtime Security? - SentinelOne, accessed on December 14, 2025, <https://www.sentinelone.com/cybersecurity-101/cloud-security/container-runtime-security/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0236d6a2af7f,Seven Tenets of Zero Trust Architecture - Stratix Systems,https://stratixsystems.com/seven-tenets-of-zero-trust-architecture/,stratixsystems.com,"Seven Tenets of Zero Trust Architecture - Stratix Systems, accessed on December 14, 2025, <https://stratixsystems.com/seven-tenets-of-zero-trust-architecture/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0249b685928a,What is Container Forensics and Incident Response? - Sysdig,https://www.sysdig.com/learn-cloud-native/what-is-container-forensics-and-incident-response,www.sysdig.com,"What is Container Forensics and Incident Response? - Sysdig, accessed on December 14, 2025, <https://www.sysdig.com/learn-cloud-native/what-is-container-forensics-and-incident-response>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_029cf2157b3b,"What is Cloud Forensics? Definition, Tools & Best Practices - SentinelOne",https://www.sentinelone.com/cybersecurity-101/cloud-security/what-is-cloud-forensics/,www.sentinelone.com,"What is Cloud Forensics? Definition, Tools & Best Practices - SentinelOne, accessed December 28, 2025, <https://www.sentinelone.com/cybersecurity-101/cloud-security/what-is-cloud-forensics/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
