level_id,code,template_count,source_document
level_l1,L1,4,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
level_l2a,L2A,9,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
level_l2b,L2B,9,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
level_l2c,L2C,9,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
