definition_id,term,definition_text,scope,defined_in,source_document
def_sch_1_p2_para6__newspaper,newspaper,“newspaper” has the meaning given by section 2(1) of the Newspaper and Printing Presses Act 1974;,FIRST SCHEDULE paragraph 6,sch_1_p2_para6,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p2_para6__relevant_broadcasting_service,relevant broadcasting service,“relevant broadcasting service” means any of the following licensable broadcasting services within the meaning of the Broadcasting Act 1994: (a) free‑to‑air nationwide television services; (b) free‑to‑air localised television services; (c) free‑to‑air international television services; (d) subscription nationwide television services; (e) subscription localised television services; (f) subscription international television services; (g) special interest television services; (h) free‑to‑air nationwide radio services; (i) free‑to‑air localised radio services; (j) free‑to‑air international radio services; (k) subscription nationwide radio services; (l) subscription localised radio services; (m) subscription international radio services; (n) special interest radio services.,FIRST SCHEDULE paragraph 6,sch_1_p2_para6,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p4_para3__applicable_individual,applicable individual,"“applicable individual”, in relation to an organisation, includes a contractor, a customer, a director, an employee, an officer or a shareholder of the organisation;",FIRST SCHEDULE paragraph 3,sch_1_p4_para3,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p4_para3__business_asset_transaction,business asset transaction,"“business asset transaction” — (a) means the purchase, sale, lease, merger or amalgamation or any other acquisition, disposal or financing of — (i) an organisation or a portion of an organisation; (ii) an interest in an organisation; or (iii) any of the business or assets of an organisation, other than any personal data to be disclosed under paragraph 1(1) or 2(1), as the case may be; and (b) includes — (i) the amalgamation of a corporation with one or more related corporations; and (ii) the transfer or disposal of any of the business or assets of a corporation to a related corporation;",FIRST SCHEDULE paragraph 3,sch_1_p4_para3,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p4_para3__business_trust,business trust,“business trust” has the meaning given by section 2 of the Business Trusts Act 2004;,FIRST SCHEDULE paragraph 3,sch_1_p4_para3,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p4_para3__corporation,corporation,“corporation” and “related corporation” have the meanings given by section 4(1) of the Companies Act 1967;,FIRST SCHEDULE paragraph 3,sch_1_p4_para3,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p4_para3__interest,interest,"“interest” means — (a) in relation to a corporation — a share in that corporation; (b) in relation to an entity other than a corporation — any right or interest (whether legal or equitable) in that entity, by whatever name called; (c) in relation to a business trust — a unit in that business trust; and (d) in relation to a trust other than a business trust — any right or interest (whether legal or equitable) in that trust, by whatever name called.",FIRST SCHEDULE paragraph 3,sch_1_p4_para3,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p5_para2__corporation,corporation,“corporation” and “related corporation” have the meanings given by section 4(1) of the Companies Act 1967;,FIRST SCHEDULE paragraph 2,sch_1_p5_para2,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p5_para2__existing_customer,existing customer,"“existing customer”, in relation to a corporation, means an individual who purchases, hires or uses, or has purchased, hired or used, any goods or services provided by the corporation;",FIRST SCHEDULE paragraph 2,sch_1_p5_para2,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_1_p5_para2__prospective_customer_of_x,prospective customer of X,"“prospective customer of X” means an individual who, at the time mentioned in paragraph 1(5) — (a) has informed X of the individual’s interest in purchasing, hiring or using any goods or services provided by X; or (b) is conducting negotiations with X that lead or may lead to an agreement between the individual and X for the purchase, hire or use of any goods or services provided by X.",FIRST SCHEDULE paragraph 2,sch_1_p5_para2,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_9_para3__named_officer,named officer,“named officer” means an inspector named in the warrant;,NINTH SCHEDULE paragraph 3,sch_9_para3(13),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_9_para3__occupier,occupier,"“occupier”, in relation to any premises, means a person whom the inspector reasonably believes is the occupier of those premises.",NINTH SCHEDULE paragraph 3,sch_9_para3(13),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36_4__control,control,"(4) In subsection (3), “control” means either physical control or control through the use of software or other means.",clause 36(4),s_36(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_37_6__applicable_purpose,applicable purpose,"(6) In this section, “applicable purpose” means a purpose specified in the Tenth Schedule.",clause 37(6),s_37(6),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_42_3__terminated_singapore_telephone_number,terminated Singapore telephone number,"(3) In this section, “terminated Singapore telephone number” means —",clause 42(3),s_42(3),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A_6__control,control,"(6) In subsection (5), “control” means —",clause 48A(6),s_48A(6),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48D_4__applicable_contravention,applicable contravention,"(4) In this section, “applicable contravention” means a contravention of any of the following:",clause 48D(4),s_48D(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48E_4__applicable_contravention,applicable contravention,"(4) In this section, “applicable contravention” means a contravention of any of the following:",clause 48E(4),s_48E(4),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_59_7__specified_person,specified person,"(7) In this section, “specified person” means a person who is or has been —",clause 59(7),s_59(7),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_67_9__former_commission,Former Commission,"(9) In this section, “Former Commission” means the Personal Data Protection Commission established by section 5(1) as in force immediately before 1 October 2016.",clause 67(9),s_67(9),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_68_2__former_commission,Former Commission,"(2) In this section, “Former Commission” has the meaning given by section 67(9).",clause 68(2),s_68(2),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_8_para1_2__ongoing_relationship,ongoing relationship,"(2) In sub‑paragraph (1)(e), “ongoing relationship” means a relationship, on an ongoing basis, between the sender and the recipient of the message, arising from the carrying on or conduct of a business or an activity (commercial or otherwise) by the sender.",clause 1(2),sch_8_para1(2),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_sch_9_para1_5__specified,specified,"(5) In sub‑paragraphs (1) and (2), “specified” means —",clause 1(5),sch_9_para1(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
