definition_id,term,definition_text,scope,defined_in,source_document
def_s_2__individual,individual,"“individual” means a natural person, whether living or deceased;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__inspector,inspector,“inspector” means an individual appointed as an inspector under section 8(1)(b);,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__investigation,investigation,"“investigation” means an investigation relating to — (a) a breach of an agreement; (b) a contravention of any written law, or any rule of professional conduct or other requirement imposed by any regulatory authority in exercise of its powers under any written law; or (c) a circumstance or conduct that may result in a remedy or relief being available under any law;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__national_interest,national interest,"“national interest” includes national defence, national security, public security, the maintenance of essential services and the conduct of international affairs;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__organisation,organisation,"“organisation” includes any individual, company, association or body of persons, corporate or unincorporated, whether or not — (a) formed or recognised under the law of Singapore; or (b) resident, or having an office or a place of business, in Singapore;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__personal_data,personal data,"“personal data” means data, whether true or not, about an individual who can be identified — (a) from that data; or (b) from that data and other information to which the organisation has or is likely to have access;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__prescribed_healthcare_body,prescribed healthcare body,“prescribed healthcare body” means a healthcare body prescribed for the purposes of the Second Schedule by the Minister charged with the responsibility for health;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__prescribed_law_enforcement_agency,prescribed law enforcement agency,"“prescribed law enforcement agency” means an authority charged with the duty of investigating offences or charging offenders under written law, prescribed for the purposes of sections 21(4) and 26D(6) and the Second Schedule by the Minister charged with the responsibility for that authority;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__private_trust,private trust,“private trust” means a trust for the benefit of one or more designated individuals who are the settlor’s friends or family members;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__proceedings,proceedings,"“proceedings” means any civil, criminal or administrative proceedings by or before a court, tribunal or regulatory authority that is related to the allegation of — (a) a breach of an agreement; (b) a contravention of any written law or any rule of professional conduct or other requirement imposed by any regulatory authority in exercise of its powers under any written law; or (c) a wrong or a breach of a duty for which a remedy is claimed under any law;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__processing,processing,"“processing”, in relation to personal data, means the carrying out of any operation or set of operations in relation to the personal data, and includes any of the following: (a) recording; (b) holding; (c) organisation, adaptation or alteration; (d) retrieval; (e) combination; (f) transmission; (g) erasure or destruction;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__public_agency,public agency,"“public agency” includes — (a) the Government, including any ministry, department, agency, or organ of State; (b) any tribunal appointed under any written law; or (c) any statutory body specified under subsection (2);",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__publicly_available,publicly available,"“publicly available”, in relation to personal data about an individual, means personal data that is generally available to the public, and includes personal data which can be observed by reasonably expected means at a location or an event — (a) at which the individual appears; and (b) that is open to the public;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__relevant_body,relevant body,"“relevant body” means the Commission, the Appeal Panel or any Appeal Committee;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__tribunal,tribunal,"“tribunal” includes a judicial or quasi‑judicial body or a disciplinary, an arbitral or a mediatory body;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__user_activity_data,user activity data,"“user activity data”, in relation to an organisation, means personal data about an individual that is created in the course or as a result of the individual’s use of any product or service provided by the organisation;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__user_provided_data,user‑provided data,"“user‑provided data”, in relation to an organisation, means personal data provided by an individual to the organisation.",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_10__foreign_data_protection_body,foreign data protection body,“foreign data protection body” means a body in whom there are vested functions under the law of another country or territory with respect to the enforcement or the administration of provisions of law of that country or territory concerning data protection;,section 10,s_10(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_10__regulatory_authority,regulatory authority,“regulatory authority” includes the Commission and any foreign data protection body.,section 10,s_10(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_26A__affected_individual,affected individual,“affected individual” means any individual to whom any personal data affected by a data breach relates;,section 26A,s_26A,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_26A__data_breach,data breach,"“data breach”, in relation to personal data, means — (a) the unauthorised access, collection, use, disclosure, copying, modification or disposal of personal data; or (b) the loss of any storage medium or device on which personal data is stored in circumstances where the unauthorised access, collection, use, disclosure, copying, modification or disposal of the personal data is likely to occur.",section 26A,s_26A,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__calling_line_identity,calling line identity,“calling line identity” means the telephone number or information identifying the sender;,section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__checker,checker,“checker” means a person mentioned in section 43A(1);,section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__financial_services,financial services,“financial services” has the meaning given by section 2 of the Consumer Protection (Fair Trading) Act 2003;,section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__goods,goods,"“goods” means any personal property, whether tangible or intangible, and is deemed to include — (a) chattels that are attached or intended to be attached to real property on or after delivery; (b) financial products and credit, including credit extended solely on the security of land; (c) any residential property; and (d) a voucher;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__message,message,"“message” means any message, whether in sound, text, visual or other form;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__register,register,“register” means any Do Not Call Register kept and maintained under section 39;,section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__send,send,"“send”, in relation to a message, means — (a) to send the message, cause the message to be sent, or authorise the sending of the message; or (b) to make a voice call containing the message, cause a voice call containing the message to be made, or authorise the making of a voice call containing the message;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__sender,sender,"“sender”, in relation to a message, means a person — (a) who sends the message, causes the message to be sent, or authorises the sending of the message; or (b) who makes a voice call containing the message, causes a voice call containing the message to be made, or authorises the making of a voice call containing the message;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__services,services,"“services” includes — (a) a service offered or provided that involves the addition to or maintenance, repair or alteration of goods or any residential property; (b) a membership in any club or organisation if the club or organisation is a business formed to make a profit for its owners; (c) the right to use time share accommodation under a time share contract; and (d) financial services;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__singapore_telephone_number,Singapore telephone number,"“Singapore telephone number” means — (a) a telephone number, with 8 digits beginning with the digit “3”, “6”, “8” or “9”, that is in accordance with the National Numbering Plan mentioned in regulation 12A of the Telecommunications (Class Licences) Regulations; or (b) any other telephone numbers as may be prescribed;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__subscriber,subscriber,"“subscriber”, in relation to a Singapore telephone number, means the subscriber of the telecommunications service to which the Singapore telephone number is allocated;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__time_share_accommodation,time share accommodation,"“time share accommodation” means any living accommodation, in Singapore or elsewhere, used or intended to be used (wholly or partly) for leisure purposes by a class of persons all of whom have rights to use, or participate in arrangements under which they may use, that accommodation or accommodation within a pool of accommodation to which that accommodation belongs;",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
