schedulepart_id,schedule_id,number,title,source_document
sch_1_p1,sch_1,1,VITAL INTERESTS OF INDIVIDUALS,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2,sch_1,2,MATTERS AFFECTING PUBLIC,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3,sch_1,3,LEGITIMATE INTERESTS,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p4,sch_1,4,BUSINESS ASSET TRANSACTIONS,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p5,sch_1,5,BUSINESS IMPROVEMENT PURPOSES,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p1,sch_2,1,COLLECTION OF PERSONAL DATA,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2,sch_2,2,USE OF PERSONAL DATA,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3,sch_2,3,DISCLOSURE OF PERSONAL DATA WITHOUT CONSENT,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
