amendment_id,entry_number,citation,details,source_document
amd_1,1,Act 26 of 2012 — Personal Data Protection Act 2012,"Bill : 24/2012 First Reading : 10 September 2012 Second Reading : 15 October 2012 Notice of Amendments : 15 October 2012 Third Reading : 15 October 2012 Commencement : 2 January 2013 (Parts I, II, VIII, IX (except sections 36 to 38, 41 and 43 to 48) and X (except section 67(1)), and the First, Seventh and Ninth Schedules) 2 December 2013 (sections 36, 37, 38 and 41) 2 January 2014 (sections 43 to 48 and 67(1) and the Eighth Schedule) 2 July 2014 (Parts III to VII, and the Second to Sixth Schedules)",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_2,2,G.N. No. S 19/2015 — Personal Data Protection Act (Amendment of,Seventh Schedule) Order 2015 Commencement : 23 January 2015,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_3,3,Act 29 of 2014 — Business Names Registration Act 2014,(Amendments made by section 47 read with item 14 of the Schedule to the above Act) Bill : 26/2014 First Reading : 8 September 2014 Second and Third Readings : 8 October 2014 Commencement : 3 January 2016 (section 47 read with item 14 of the Schedule) ii,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_4,4,Act 22 of 2016 — Info-communications Media Development Authority,Act 2016 (Amendments made by section 96 of the above Act) Bill : 21/2016 First Reading : 11 July 2016 Second and Third Readings : 16 August 2016 Commencement : 1 October 2016 (section 96 except section 96(v)) 2 October 2016 (section 96(v)),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_5,5,Act 40 of 2019 — Supreme Court of Judicature (Amendment) Act 2019,(Amendments made by section 28(1) read with item 115 of the Schedule to the above Act) Bill : 32/2019 First Reading : 7 October 2019 Second Reading : 5 November 2019 Notice of Amendments : 5 November 2019 Third Reading : 5 November 2019 Commencement : 2 January 2021 (section 28(1) read with item 115 of the Schedule),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_6,6,2020 Revised Edition — Personal Data Protection,Operation : 31 December 2021,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_7,7,Act 25 of 2021 — Courts (Civil and Criminal Justice) Reform Act 2021,Date of First Reading : 26 July 2021 (Bill No. 18/2021) Date of Second and Third : 14 September 2021 Readings Date of commencement : 1 April 2022,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_8,8,Act 40 of 2020 — Personal Data Protection (Amendment) Act 2020,"Date of First Reading : 5 October 2020 (Bill No. 37/2020) Date of Second and Third : 2 November 2020 Readings iii Date of commencement : 1 February 2021 (except sections 14, 24, 39, 42, 44 and 45) 1 October 2022",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
amd_9,9,Act 19 of 2025 — Statutes (Miscellaneous Amendments) Act 2025,Bill : 9/2025 First Reading : 22 September 2025 Second and Third Readings : 15 October 2025 Commencement : 5 December 2025,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
