source_id,target_id,rel_type,citation
amd_1,PDPA2012,AMENDS,Act 26 of 2012 — Personal Data Protection Act 2012
amd_2,PDPA2012,AMENDS,G.N. No. S 19/2015 — Personal Data Protection Act (Amendment of
amd_3,PDPA2012,AMENDS,Act 29 of 2014 — Business Names Registration Act 2014
amd_4,PDPA2012,AMENDS,Act 22 of 2016 — Info-communications Media Development Authority
amd_5,PDPA2012,AMENDS,Act 40 of 2019 — Supreme Court of Judicature (Amendment) Act 2019
amd_6,PDPA2012,AMENDS,2020 Revised Edition — Personal Data Protection
amd_7,PDPA2012,AMENDS,Act 25 of 2021 — Courts (Civil and Criminal Justice) Reform Act 2021
amd_8,PDPA2012,AMENDS,Act 40 of 2020 — Personal Data Protection (Amendment) Act 2020
amd_9,PDPA2012,AMENDS,Act 19 of 2025 — Statutes (Miscellaneous Amendments) Act 2025
