scheduledivision_id,schedule_id,schedulepart_id,number,title,source_document
sch_2_p2_d1,sch_2,sch_2_p2,1,Public interest,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2_d2,sch_2,sch_2_p2,2,Business improvement purpose,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2_d3,sch_2,sch_2_p2,3,Research,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d1,sch_2,sch_2_p3,1,Public interest,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d2,sch_2,sch_2_p3,2,Research,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
