source_id,target_id,rel_type,term
s_2(1),def_s_2__advisory_committee,DEFINES,advisory committee
s_2(1),def_s_2__appeal_committee,DEFINES,Appeal Committee
s_2(1),def_s_2__appeal_panel,DEFINES,Appeal Panel
s_2(1),def_s_2__authorised_officer,DEFINES,authorised officer
s_2(1),def_s_2__authority,DEFINES,Authority
s_2(1),def_s_2__benefit_plan,DEFINES,benefit plan
s_2(1),def_s_2__business,DEFINES,business
s_2(1),def_s_2__business_contact_information,DEFINES,business contact information
s_2(1),def_s_2__chief_executive,DEFINES,Chief Executive
s_2(1),def_s_2__commission,DEFINES,Commission
s_2(1),def_s_2__commissioner,DEFINES,Commissioner
s_2(1),def_s_2__credit_bureau,DEFINES,credit bureau
s_2(1),def_s_2__credit_report,DEFINES,credit report
s_2(1),def_s_2__data_intermediary,DEFINES,data intermediary
s_2(1),def_s_2__derived_personal_data,DEFINES,derived personal data
s_2(1),def_s_2__document,DEFINES,document
s_2(1),def_s_2__domestic,DEFINES,domestic
s_2(1),def_s_2__education_institution,DEFINES,education institution
s_2(1),def_s_2__employee,DEFINES,employee
s_2(1),def_s_2__employment,DEFINES,employment
s_2(1),def_s_2__evaluative_purpose,DEFINES,evaluative purpose
s_2(1),def_s_2__individual,DEFINES,individual
s_2(1),def_s_2__inspector,DEFINES,inspector
s_2(1),def_s_2__investigation,DEFINES,investigation
s_2(1),def_s_2__national_interest,DEFINES,national interest
s_2(1),def_s_2__organisation,DEFINES,organisation
s_2(1),def_s_2__personal_data,DEFINES,personal data
s_2(1),def_s_2__prescribed_healthcare_body,DEFINES,prescribed healthcare body
s_2(1),def_s_2__prescribed_law_enforcement_agency,DEFINES,prescribed law enforcement agency
s_2(1),def_s_2__private_trust,DEFINES,private trust
s_2(1),def_s_2__proceedings,DEFINES,proceedings
s_2(1),def_s_2__processing,DEFINES,processing
s_2(1),def_s_2__public_agency,DEFINES,public agency
s_2(1),def_s_2__publicly_available,DEFINES,publicly available
s_2(1),def_s_2__relevant_body,DEFINES,relevant body
s_2(1),def_s_2__tribunal,DEFINES,tribunal
s_2(1),def_s_2__user_activity_data,DEFINES,user activity data
s_2(1),def_s_2__user_provided_data,DEFINES,user‑provided data
s_10(5),def_s_10__foreign_data_protection_body,DEFINES,foreign data protection body
s_10(5),def_s_10__regulatory_authority,DEFINES,regulatory authority
s_26A,def_s_26A__affected_individual,DEFINES,affected individual
s_26A,def_s_26A__data_breach,DEFINES,data breach
s_36(1),def_s_36__calling_line_identity,DEFINES,calling line identity
s_36(1),def_s_36__checker,DEFINES,checker
s_36(1),def_s_36__financial_services,DEFINES,financial services
s_36(1),def_s_36__goods,DEFINES,goods
s_36(1),def_s_36__message,DEFINES,message
