section_id,part_id,division_id,number,heading,lead_text,status,repealed_by,source_document
s_27,part_7,,27,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_28,part_7,,28,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_29,part_7,,29,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_30,part_7,,30,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_31,part_7,,31,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_32,part_7,,32,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_33,part_8,,33,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_34,part_8,,34,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_35,part_8,,35,[Repealed],[Repealed by Act 40 of 2020],repealed,Act 40 of 2020,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_1,part_1,,1,Short title,This Act is the Personal Data Protection Act 2012.,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_2,part_1,,2,Interpretation,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_3,part_1,,3,Purpose,"The purpose of this Act is to govern the collection, use and disclosure of personal data by organisations in a manner that recognises both the right of individuals to protect their personal data and the need of organisations to collect, use or disclose personal data for purposes that a reasonable person would consider appropriate in the circumstances.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4,part_1,,4,Application of Act,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_5,part_2,,5,Personal Data Protection Commission,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
