source_id,target_id,rel_type,clause_type
s_2,s_2(1),HAS_CLAUSE,subsection
s_2,s_2(2),HAS_CLAUSE,subsection
s_4,s_4(1),HAS_CLAUSE,subsection
s_4(1),s_4(1)(a),HAS_CLAUSE,paragraph
s_4(1),s_4(1)(b),HAS_CLAUSE,paragraph
s_4(1),s_4(1)(c),HAS_CLAUSE,paragraph
s_4(1),s_4(1)(d),HAS_CLAUSE,paragraph
s_4,s_4(2),HAS_CLAUSE,subsection
s_4,s_4(3),HAS_CLAUSE,subsection
s_4,s_4(4),HAS_CLAUSE,subsection
s_4(4),s_4(4)(a),HAS_CLAUSE,paragraph
s_4(4),s_4(4)(b),HAS_CLAUSE,paragraph
s_4,s_4(5),HAS_CLAUSE,subsection
s_4,s_4(6),HAS_CLAUSE,subsection
s_4(6),s_4(6)(a),HAS_CLAUSE,paragraph
s_4(6),s_4(6)(b),HAS_CLAUSE,paragraph
s_5,s_5(1),HAS_CLAUSE,subsection
s_5,s_5(2),HAS_CLAUSE,subsection
s_6,s_6(a),HAS_CLAUSE,paragraph
s_6,s_6(b),HAS_CLAUSE,paragraph
s_6,s_6(c),HAS_CLAUSE,paragraph
s_6,s_6(d),HAS_CLAUSE,paragraph
s_6,s_6(e),HAS_CLAUSE,paragraph
s_6,s_6(f),HAS_CLAUSE,paragraph
s_6,s_6(g),HAS_CLAUSE,paragraph
s_6,s_6(h),HAS_CLAUSE,paragraph
s_6,s_6(i),HAS_CLAUSE,paragraph
s_7,s_7(1),HAS_CLAUSE,subsection
s_7,s_7(2),HAS_CLAUSE,subsection
s_8,s_8(1),HAS_CLAUSE,subsection
s_8(1),s_8(1)(a),HAS_CLAUSE,paragraph
s_8(1),s_8(1)(b),HAS_CLAUSE,paragraph
s_8,s_8(2),HAS_CLAUSE,subsection
s_8(2),s_8(2)(a),HAS_CLAUSE,paragraph
s_8(2),s_8(2)(b),HAS_CLAUSE,paragraph
s_8(2),s_8(2)(c),HAS_CLAUSE,paragraph
s_8,s_8(3),HAS_CLAUSE,subsection
s_9,s_9(1),HAS_CLAUSE,subsection
s_9,s_9(2),HAS_CLAUSE,subsection
s_9(2),s_9(2)(a),HAS_CLAUSE,paragraph
s_9(2),s_9(2)(b),HAS_CLAUSE,paragraph
s_10,s_10(1),HAS_CLAUSE,subsection
s_10(1),s_10(1)(a),HAS_CLAUSE,paragraph
s_10(1),s_10(1)(b),HAS_CLAUSE,paragraph
s_10,s_10(2),HAS_CLAUSE,subsection
s_10(2),s_10(2)(a),HAS_CLAUSE,paragraph
s_10(2),s_10(2)(b),HAS_CLAUSE,paragraph
s_10(2),s_10(2)(c),HAS_CLAUSE,paragraph
s_10,s_10(3),HAS_CLAUSE,subsection
s_10,s_10(4),HAS_CLAUSE,subsection
s_10(4),s_10(4)(a),HAS_CLAUSE,paragraph
s_10(4),s_10(4)(b),HAS_CLAUSE,paragraph
s_10,s_10(5),HAS_CLAUSE,subsection
s_11,s_11(1),HAS_CLAUSE,subsection
s_11,s_11(2),HAS_CLAUSE,subsection
s_11,s_11(3),HAS_CLAUSE,subsection
s_11,s_11(4),HAS_CLAUSE,subsection
s_11,s_11(5),HAS_CLAUSE,subsection
s_11,s_11(5A),HAS_CLAUSE,subsection
s_11,s_11(6),HAS_CLAUSE,subsection
s_12,s_12(a),HAS_CLAUSE,paragraph
s_12,s_12(b),HAS_CLAUSE,paragraph
s_12,s_12(c),HAS_CLAUSE,paragraph
s_12,s_12(d),HAS_CLAUSE,paragraph
s_12(d),s_12(d)(i),HAS_CLAUSE,subparagraph
s_12(d),s_12(d)(ii),HAS_CLAUSE,subparagraph
s_13,s_13(a),HAS_CLAUSE,paragraph
s_13,s_13(b),HAS_CLAUSE,paragraph
s_14,s_14(1),HAS_CLAUSE,subsection
s_14(1),s_14(1)(a),HAS_CLAUSE,paragraph
s_14(1),s_14(1)(b),HAS_CLAUSE,paragraph
s_14,s_14(2),HAS_CLAUSE,subsection
s_14(2),s_14(2)(a),HAS_CLAUSE,paragraph
s_14(2),s_14(2)(b),HAS_CLAUSE,paragraph
s_14,s_14(3),HAS_CLAUSE,subsection
s_14,s_14(4),HAS_CLAUSE,subsection
s_15,s_15(1),HAS_CLAUSE,subsection
s_15(1),s_15(1)(a),HAS_CLAUSE,paragraph
s_15(1),s_15(1)(b),HAS_CLAUSE,paragraph
s_15,s_15(2),HAS_CLAUSE,subsection
s_15,s_15(3),HAS_CLAUSE,subsection
s_15(3),s_15(3)(a),HAS_CLAUSE,paragraph
s_15(3),s_15(3)(b),HAS_CLAUSE,paragraph
s_15(3),s_15(3)(c),HAS_CLAUSE,paragraph
s_15,s_15(4),HAS_CLAUSE,subsection
s_15,s_15(5),HAS_CLAUSE,subsection
s_15(5),s_15(5)(a),HAS_CLAUSE,paragraph
s_15(5),s_15(5)(b),HAS_CLAUSE,paragraph
s_15(5),s_15(5)(c),HAS_CLAUSE,paragraph
s_15(5),s_15(5)(d),HAS_CLAUSE,paragraph
s_15,s_15(6),HAS_CLAUSE,subsection
s_15(6),s_15(6)(a),HAS_CLAUSE,paragraph
s_15(6)(a),s_15(6)(a)(i),HAS_CLAUSE,subparagraph
s_15(6)(a),s_15(6)(a)(ii),HAS_CLAUSE,subparagraph
s_15(6),s_15(6)(b),HAS_CLAUSE,paragraph
s_15(6),s_15(6)(c),HAS_CLAUSE,paragraph
s_15,s_15(7),HAS_CLAUSE,subsection
s_15,s_15(8),HAS_CLAUSE,subsection
s_15(8),s_15(8)(a),HAS_CLAUSE,paragraph
s_15(8),s_15(8)(b),HAS_CLAUSE,paragraph
s_15,s_15(9),HAS_CLAUSE,subsection
s_15(9),s_15(9)(a),HAS_CLAUSE,paragraph
s_15(9),s_15(9)(b),HAS_CLAUSE,paragraph
s_15A,s_15A(1),HAS_CLAUSE,subsection
s_15A,s_15A(2),HAS_CLAUSE,subsection
s_15A(2),s_15A(2)(a),HAS_CLAUSE,paragraph
s_15A(2),s_15A(2)(b),HAS_CLAUSE,paragraph
s_15A,s_15A(3),HAS_CLAUSE,subsection
s_15A,s_15A(4),HAS_CLAUSE,subsection
s_15A(4),s_15A(4)(a),HAS_CLAUSE,paragraph
s_15A(4),s_15A(4)(b),HAS_CLAUSE,paragraph
s_15A(4)(b),s_15A(4)(b)(i),HAS_CLAUSE,subparagraph
s_15A(4)(b),s_15A(4)(b)(ii),HAS_CLAUSE,subparagraph
s_15A(4)(b),s_15A(4)(b)(iii),HAS_CLAUSE,subparagraph
s_15A(4),s_15A(4)(c),HAS_CLAUSE,paragraph
s_15A,s_15A(5),HAS_CLAUSE,subsection
s_15A(5),s_15A(5)(a),HAS_CLAUSE,paragraph
s_15A(5),s_15A(5)(b),HAS_CLAUSE,paragraph
s_15A(5)(b),s_15A(5)(b)(i),HAS_CLAUSE,subparagraph
