scheduleparagraph_id,schedule_id,parent_id,number,heading,text,source_document
sch_1_p1_para1,sch_1,sch_1_p1,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p1_para2,sch_1,sch_1_p1,2,,"The collection, use or disclosure (as the case may be) of personal data about an individual is necessary to respond to an emergency that threatens the life, health or safety of the individual or another individual.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p1_para3,sch_1,sch_1_p1,3,,"The collection, use or disclosure (as the case may be) of personal data about an individual, where —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p1_para4,sch_1,sch_1_p1,4,,"The collection, use or disclosure of personal data is for the purpose of contacting the next‑of‑kin or a friend of any injured, ill or deceased individual.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para1,sch_1,sch_1_p2,1,,"The collection, use or disclosure (as the case may be) of personal data about an individual that is publicly available.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para2,sch_1,sch_1_p2,2,,"The collection, use or disclosure (as the case may be) of personal data about an individual is in the national interest.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para3,sch_1,sch_1_p2,3,,"The collection, use or disclosure (as the case may be) of personal data about an individual is solely for artistic or literary purposes.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para4,sch_1,sch_1_p2,4,,"The collection, use or disclosure (as the case may be) of personal data about an individual is solely for archival or historical purposes, if a reasonable person would not consider the personal data to be too sensitive to the individual to be collected, used or disclosed (as the case may be) at the proposed time.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para5,sch_1,sch_1_p2,5,,"The personal data about an individual is collected, used or disclosed (as the case may be) by a news organisation solely for its news activity.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p2_para6,sch_1,sch_1_p2,6,,In this Part —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para1,sch_1,sch_1_p3,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para2,sch_1,sch_1_p3,2,,"The collection, use or disclosure (as the case may be) of personal data about an individual is necessary for evaluative purposes.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para3,sch_1,sch_1_p3,3,,"The collection, use or disclosure (as the case may be) of personal data about an individual is necessary for any investigation or proceedings.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para4,sch_1,sch_1_p3,4,,"The collection, use or disclosure (as the case may be) of personal data about an individual is necessary for the organisation —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para5,sch_1,sch_1_p3,5,,"The collection, use or disclosure (as the case may be) of personal data about an individual is necessary for the provision of legal services by the organisation to another person, or for the organisation to obtain legal services.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para6,sch_1,sch_1_p3,6,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para7,sch_1,sch_1_p3,7,,"The collection, use or disclosure (as the case may be) of personal data about an individual is to —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para8,sch_1,sch_1_p3,8,,The personal data about an individual —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para9,sch_1,sch_1_p3,9,,The personal data about an individual —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p3_para10,sch_1,sch_1_p3,10,,"The personal data about an individual is collected, used or disclosed (as the case may be) by the organisation, and the collection, use or disclosure (as the case may be) of the personal data is reasonable for the purpose of or in relation to the organisation —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p4_para1,sch_1,sch_1_p4,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p4_para2,sch_1,sch_1_p4,2,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p4_para3,sch_1,sch_1_p4,3,,In this Part —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p5_para1,sch_1,sch_1_p5,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_1_p5_para2,sch_1,sch_1_p5,2,,In this Part —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p1_para1,sch_2,sch_2_p1,1,,"The collection of personal data about an individual, if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2_d1_para1,sch_2,sch_2_p2_d1,1,,"The use of personal data about an individual, if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2_d2_para1,sch_2,sch_2_p2_d2,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p2_d3_para1,sch_2,sch_2_p2_d3,1,,"The use of personal data about an individual for a research purpose (including historical or statistical research), if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d1_para1,sch_2,sch_2_p3_d1,1,,"The disclosure of personal data about an individual to a public agency, where the disclosure is necessary in the public interest.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d1_para2,sch_2,sch_2_p3_d1,2,,The disclosure of personal data about an individual who is a current or former student of an educational institution to a public agency for the purposes of policy formulation or review.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d1_para3,sch_2,sch_2_p3_d1,3,,The disclosure of personal data about an individual who is a current or former patient of any of the following to a public agency for the purposes of policy formulation or review:,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d1_para4,sch_2,sch_2_p3_d1,4,,"The disclosure of personal data about any individual to any officer of a prescribed law enforcement agency, upon production of written authorisation signed by the head or director of that prescribed law enforcement agency or a person of a similar rank, certifying that the personal data is necessary for the purposes of the functions or duties of the officer.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2_p3_d2_para1,sch_2,sch_2_p3_d2,1,,"The disclosure of personal data about an individual for a research purpose (including historical or statistical research), if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_5_para1,sch_5,sch_5,1,,An organisation is not required to provide information under section 21(1) in respect of —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_5_para2,sch_5,sch_5,2,,"For the purposes of paragraph 1(j)(i), the organisation may have regard to the number and frequency of requests received.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_6_para1,sch_6,sch_6,1,,Section 22 does not apply in respect of —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para1,sch_7,sch_7,1,Data Protection Appeal Panel,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para2,sch_7,sch_7,2,Chairperson of Appeal Panel or temporary Chairperson of Appeal Panel,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para2A,sch_7,sch_7,2A,Secretary to Appeal Panel,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para2B,sch_7,sch_7,2B,Constitution of Appeal Committee,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para3,sch_7,sch_7,3,Proceedings of Appeal Committees,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para4,sch_7,sch_7,4,Powers of Appeal Committees,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para5,sch_7,sch_7,5,Allowances,Members of the Appeal Committee may receive such remuneration and such travelling and subsistence allowances as the Minister may determine.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para6,sch_7,sch_7,6,Validity of act or proceeding,"No proceedings relating to any appeal before an Appeal Committee, and no act of the Chairperson of the Appeal Panel or of the presiding member of an Appeal Committee, is to be nullified only because of —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7_para7,sch_7,sch_7,7,Definition,"In this Schedule, “appeal” means an appeal under —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_8_para1,sch_8,sch_8,1,,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_9_para1,sch_9,sch_9,1,Power to require documents or information,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_9_para1A,sch_9,sch_9,1A,"Power to require provision of information, etc.",,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
