clause_id,section_id,parent_id,clause_type,label,number,text,source_document
s_2(1),s_2,s_2,subsection,1,2(1),"(1) In this Act, unless the context otherwise requires —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_2(2),s_2,s_2,subsection,2,2(2),"(2) The Minister may, by notification in the Gazette, specify any statutory body established under a public Act for a public function to be a public agency for the purposes of this Act.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(1),s_4,s_4,subsection,1,4(1),"(1) Parts 3, 4, 5, 6, 6A and 6B do not impose any obligation on —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(1)(a),s_4,s_4(1),paragraph,a,4(1)(a),(a) any individual acting in a personal or domestic capacity;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(1)(b),s_4,s_4(1),paragraph,b,4(1)(b),(b) any employee acting in the course of his or her employment with an organisation;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(1)(c),s_4,s_4(1),paragraph,c,4(1)(c),(c) any public agency; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(1)(d),s_4,s_4(1),paragraph,d,4(1)(d),"(d) any other organisations or personal data, or classes of organisations or personal data, prescribed for the purposes of this provision.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(2),s_4,s_4,subsection,2,4(2),"(2) Parts 3, 4, 5, 6 (except sections 24 and 25), 6A (except sections 26C(3)(a) and 26E) and 6B do not impose any obligation on a data intermediary in respect of its processing of personal data on behalf of and for the purposes of another organisation pursuant to a contract which is evidenced or made in writing.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(3),s_4,s_4,subsection,3,4(3),(3) An organisation has the same obligation under this Act in respect of personal data processed on its behalf and for its purposes by a data intermediary as if the personal data were processed by the organisation itself.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(4),s_4,s_4,subsection,4,4(4),(4) This Act does not apply in respect of —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(4)(a),s_4,s_4(4),paragraph,a,4(4)(a),(a) personal data about an individual that is contained in a record that has been in existence for at least 100 years; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(4)(b),s_4,s_4(4),paragraph,b,4(4)(b),"(b) personal data about a deceased individual, except that the provisions relating to the disclosure of personal data and section 24 (protection of personal data) apply in respect of personal data about an individual who has been dead for 10 years or less.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(5),s_4,s_4,subsection,5,4(5),"(5) Except where business contact information is expressly mentioned, Parts 3, 4, 5, 6 and 6A do not apply to business contact information.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
