control_id,attribute_id,relevance
5.1,control_types_preventive,High
5.1,security_properties_confidentiality,High
5.1,cybersecurity_concepts_protect,High
5.1,operational_capabilities_governance,High
5.1,security_domains_governance_and_ecosystem,High
6.1,control_types_preventive,High
6.1,operational_capabilities_human_resource_security,High
6.8,control_types_detective,High
6.8,cybersecurity_concepts_detect,High
7.1,control_types_preventive,High
7.1,operational_capabilities_physical_security,High
7.4,control_types_detective,High
8.7,control_types_preventive,High
8.15,control_types_detective,High
8.16,control_types_detective,High
8.24,security_properties_confidentiality,High
8.32,control_types_corrective,Medium
