right_id,name,verbatim_basis,stated_timeframe,source_document
RIGHT-INSPECT,Right to inspect and review education records,"Under FERPA, a school or State educational agency (SEA) must provide a parent with an opportunity to inspect and review their child’s education records within a reasonable period of time, but not more than 45 calendar days following receipt of a request.",not more than 45 calendar days following receipt of a request,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-AMEND,Right to seek amendment or correction of education records,"Under FERPA, a parent has the right to seek amendment or correction of their child’s education records that the parent believes to be inaccurate, misleading, or in violation of the child’s rights of privacy.",,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-CONSENT,Right to consent to disclosure of PII from education records,the right to consent to disclosure of PII from the records (except in certain circumstances),,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-COMPLAIN,Right to file a complaint with SPPO,the right to file a complaint with SPPO regarding an alleged failure by a school to comply with FERPA,within 180 days of the date of the alleged violation or of the date that the parent knew or reasonably should have known of the alleged violation,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-HEARING,Right to a hearing on a denied amendment request,"if the request is denied, to advise the parent of his or her right to a hearing on the matter",,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-STATEMENT,Right to insert a statement in the record,"the parent has the right to insert a statement in the record commenting on the contested information or stating why the parent disagrees with the decision, or both. That statement must remain with the contested part of the education record for as long as the record is maintained and be included whenever the contested part is disclosed.",for as long as the record is maintained,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-OPTOUT,Right to opt out of directory information disclosures,"FERPA provides that a school may disclose, without consent, directory information if the school has given public notice to parents of the types of PII that it has designated as directory information and the process, including period of time, for parents to opt out of certain directory information disclosures.","the process, including period of time, for parents to opt out of certain directory information disclosures","SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
RIGHT-ANNUAL-NOTICE,Right to annual notification of FERPA rights,"Under FERPA, a school must annually notify parents of their rights under FERPA.",annually,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
