scopingrule_id,level_number,cfr_citation,text,information_type,guide,source_document
SCOPE-L1,1,170.19(b),"Level 1: As detailed in 170.19(b), consists of all assets that process, store, or transmit FCI.",FCI,CMMC Level 1 Scoping Guide,COGR-CMMC-2.0-OVERVIEW-2025
SCOPE-L2,2,170.19(c),"Level 2: As detailed in 170.19(c), consists of all assets that process, store, or transmit CUI, and all assets that provide security protection for these assets.",CUI,CMMC Level 2 Scoping Guide,COGR-CMMC-2.0-OVERVIEW-2025
SCOPE-L3,3,170.19(d),"Level 3: As detailed in 170.19(d), consists of all assets that can (whether intended to or not) or do process, store, or transmit CUI, and all assets that provide security protection for these assets. The CMMC Level 3 Assessment Scope also includes all Specialized Assets but allows an intermediary device to provide the capability for the Specialized Asset to meet one or more CMMC security requirements, as needed.",CUI,CMMC Level 3 Scoping Guide,COGR-CMMC-2.0-OVERVIEW-2025
SCOPE-ENTERPRISE-V213,,,"When implementing the CMMC model, an organization can achieve a specific CMMC level for its entire enterprise network or for a particular enclave(s), depending on where the information to be protected is handled and stored.",,,CMMC-MODEL-OVERVIEW-V2.13
SCOPE-ENTERPRISE-V20,,,"When implementing the CMMC model, a DIB contractor can achieve a specific CMMC level for its entire enterprise network or for a particular segment(s) or enclave(s), depending on where the information to be protected is handled and stored.",,,CMMC-MODEL-OVERVIEW-V2.0
