sourcereference_id,reference_text,standard,citation,source_document
SRC-FAR-Clause-52-204-21-Partial-b-1-ix,FAR Clause 52.204-21 Partial b.1.ix,FAR Clause 52.204-21,Partial b.1.ix,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-i,FAR Clause 52.204-21 b.1.i,FAR Clause 52.204-21,b.1.i,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-ii,FAR Clause 52.204-21 b.1.ii,FAR Clause 52.204-21,b.1.ii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-iii,FAR Clause 52.204-21 b.1.iii,FAR Clause 52.204-21,b.1.iii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-iv,FAR Clause 52.204-21 b.1.iv,FAR Clause 52.204-21,b.1.iv,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-v,FAR Clause 52.204-21 b.1.v,FAR Clause 52.204-21,b.1.v,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-vi,FAR Clause 52.204-21 b.1.vi,FAR Clause 52.204-21,b.1.vi,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-vii,FAR Clause 52.204-21 b.1.vii,FAR Clause 52.204-21,b.1.vii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-viii,FAR Clause 52.204-21 b.1.viii,FAR Clause 52.204-21,b.1.viii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-x,FAR Clause 52.204-21 b.1.x,FAR Clause 52.204-21,b.1.x,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-xi,FAR Clause 52.204-21 b.1.xi,FAR Clause 52.204-21,b.1.xi,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-xii,FAR Clause 52.204-21 b.1.xii,FAR Clause 52.204-21,b.1.xii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-xiii,FAR Clause 52.204-21 b.1.xiii,FAR Clause 52.204-21,b.1.xiii,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-xiv,FAR Clause 52.204-21 b.1.xiv,FAR Clause 52.204-21,b.1.xiv,CMMC-MODEL-OVERVIEW-V2.13
SRC-FAR-Clause-52-204-21-b-1-xv,FAR Clause 52.204-21 b.1.xv,FAR Clause 52.204-21,b.1.xv,CMMC-MODEL-OVERVIEW-V2.13
SRC-NIST-SP-800-171-Rev-2-3-1-1,NIST SP 800-171 Rev 2 3.1.1,NIST SP 800-171 Rev 2,3.1.1,CMMC-MODEL-OVERVIEW-V2.13
SRC-NIST-SP-800-171-Rev-2-3-1-10,NIST SP 800-171 Rev 2 3.1.10,NIST SP 800-171 Rev 2,3.1.10,CMMC-MODEL-OVERVIEW-V2.13
SRC-NIST-SP-800-171-Rev-2-3-1-11,NIST SP 800-171 Rev 2 3.1.11,NIST SP 800-171 Rev 2,3.1.11,CMMC-MODEL-OVERVIEW-V2.13
SRC-NIST-SP-800-171-Rev-2-3-1-12,NIST SP 800-171 Rev 2 3.1.12,NIST SP 800-171 Rev 2,3.1.12,CMMC-MODEL-OVERVIEW-V2.13
