source_id,target_id,rel_type,matched_on_reference
AC.L1-b.1.i,V20:AC.L1-3.1.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.i
AC.L1-b.1.i,V20:AC.L1-3.1.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.1
AC.L1-b.1.ii,V20:AC.L1-3.1.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.ii
AC.L1-b.1.ii,V20:AC.L1-3.1.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.2
AC.L1-b.1.iii,V20:AC.L1-3.1.20,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.iii
AC.L1-b.1.iii,V20:AC.L1-3.1.20,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.20
AC.L1-b.1.iv,V20:AC.L1-3.1.22,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.iv
AC.L1-b.1.iv,V20:AC.L1-3.1.22,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.22
AC.L2-3.1.1,V20:AC.L1-3.1.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.i
AC.L2-3.1.1,V20:AC.L1-3.1.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.1
AC.L2-3.1.10,V20:AC.L2-3.1.10,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.10
AC.L2-3.1.11,V20:AC.L2-3.1.11,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.11
AC.L2-3.1.12,V20:AC.L2-3.1.12,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.12
AC.L2-3.1.13,V20:AC.L2-3.1.13,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.13
AC.L2-3.1.14,V20:AC.L2-3.1.14,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.14
AC.L2-3.1.15,V20:AC.L2-3.1.15,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.15
AC.L2-3.1.16,V20:AC.L2-3.1.16,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.16
AC.L2-3.1.17,V20:AC.L2-3.1.17,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.17
AC.L2-3.1.18,V20:AC.L2-3.1.18,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.18
AC.L2-3.1.19,V20:AC.L2-3.1.19,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.19
AC.L2-3.1.2,V20:AC.L1-3.1.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.ii
AC.L2-3.1.2,V20:AC.L1-3.1.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.2
AC.L2-3.1.20,V20:AC.L1-3.1.20,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.iii
AC.L2-3.1.20,V20:AC.L1-3.1.20,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.20
AC.L2-3.1.21,V20:AC.L2-3.1.21,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.21
AC.L2-3.1.22,V20:AC.L1-3.1.22,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.iv
AC.L2-3.1.22,V20:AC.L1-3.1.22,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.22
AC.L2-3.1.3,V20:AC.L2-3.1.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.3
AC.L2-3.1.4,V20:AC.L2-3.1.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.4
AC.L2-3.1.5,V20:AC.L2-3.1.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.5
AC.L2-3.1.6,V20:AC.L2-3.1.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.6
AC.L2-3.1.7,V20:AC.L2-3.1.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.7
AC.L2-3.1.8,V20:AC.L2-3.1.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.8
AC.L2-3.1.9,V20:AC.L2-3.1.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.1.9
AT.L2-3.2.1,V20:AT.L2-3.2.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.2.1
AT.L2-3.2.2,V20:AT.L2-3.2.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.2.2
AT.L2-3.2.3,V20:AT.L2-3.2.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.2.3
AU.L2-3.3.1,V20:AU.L2-3.3.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.1
AU.L2-3.3.2,V20:AU.L2-3.3.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.2
AU.L2-3.3.3,V20:AU.L2-3.3.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.3
AU.L2-3.3.4,V20:AU.L2-3.3.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.4
AU.L2-3.3.5,V20:AU.L2-3.3.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.5
AU.L2-3.3.6,V20:AU.L2-3.3.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.6
AU.L2-3.3.7,V20:AU.L2-3.3.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.7
AU.L2-3.3.8,V20:AU.L2-3.3.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.8
AU.L2-3.3.9,V20:AU.L2-3.3.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.3.9
CA.L2-3.12.1,V20:CA.L2-3.12.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.12.1
CA.L2-3.12.2,V20:CA.L2-3.12.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.12.2
CA.L2-3.12.3,V20:CA.L2-3.12.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.12.3
CA.L2-3.12.4,V20:CA.L2-3.12.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.12.4
CM.L2-3.4.1,V20:CM.L2-3.4.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.1
CM.L2-3.4.2,V20:CM.L2-3.4.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.2
CM.L2-3.4.3,V20:CM.L2-3.4.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.3
CM.L2-3.4.4,V20:CM.L2-3.4.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.4
CM.L2-3.4.5,V20:CM.L2-3.4.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.5
CM.L2-3.4.6,V20:CM.L2-3.4.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.6
CM.L2-3.4.7,V20:CM.L2-3.4.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.7
CM.L2-3.4.8,V20:CM.L2-3.4.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.8
CM.L2-3.4.9,V20:CM.L2-3.4.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.4.9
IA.L1-b.1.v,V20:IA.L1-3.5.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.v
IA.L1-b.1.v,V20:IA.L1-3.5.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.1
IA.L1-b.1.vi,V20:IA.L1-3.5.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.vi
IA.L1-b.1.vi,V20:IA.L1-3.5.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.2
IA.L2-3.5.1,V20:IA.L1-3.5.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.v
IA.L2-3.5.1,V20:IA.L1-3.5.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.1
IA.L2-3.5.10,V20:IA.L2-3.5.10,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.10
IA.L2-3.5.11,V20:IA.L2-3.5.11,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.11
IA.L2-3.5.2,V20:IA.L1-3.5.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.vi
IA.L2-3.5.2,V20:IA.L1-3.5.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.2
IA.L2-3.5.3,V20:IA.L2-3.5.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.3
IA.L2-3.5.4,V20:IA.L2-3.5.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.4
IA.L2-3.5.5,V20:IA.L2-3.5.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.5
