reference_id,number,citation,source_document
REF-1,1,"U.S. Executive Office of the President, Council of Economic Advisers (CEA), The Cost of Malicious Cyber Activity to the U.S. Economy, available online at https://www.whitehouse.gov/wp-content/uploads/2018/02/The-Cost-of-Malicious-Cyber-Activity-to-the-U.S.-Economy.pdf, February 2018",CMMC-MODEL-OVERVIEW-V2.13
REF-2,2,"Center for Strategic and International Studies (CSIS) and McAfee, Economic Impact of Cybercrime - No Slowing Down, February 2018",CMMC-MODEL-OVERVIEW-V2.13
REF-3,3,"48 Code of Federal Regulations (CFR) 52.204-21, Basic Safeguarding of Covered Contractor Information Systems, Federal Acquisition Regulation (FAR), 1 Oct 2016",CMMC-MODEL-OVERVIEW-V2.13
REF-4,4,"NIST Special Publication (SP) 800-171 Revision (Rev) 2, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations, U.S. Department of Commerce National Institute of Standards and Technology (NIST), December 2016 (updated June 2018)",CMMC-MODEL-OVERVIEW-V2.13
REF-5,5,"NIST SP 800-172, Enhanced Security Requirements for Protecting Controlled Unclassified Information: A Supplement to NIST Special Publication 800-171, U.S. Department of Commerce National Institute of Standards and Technology (NIST), February 2021",CMMC-MODEL-OVERVIEW-V2.13
