document_id,title,version,date,identifier,role,source_pdf,notice,source_document
CMMC-MODEL-OVERVIEW-V2.13,Cybersecurity Maturity Model Certification (CMMC) Model Overview,2.13,September 2024,DoD-CIO-00001 (ZRIN 0790-ZA17),primary,KB 2/USA/CMMC/USA_CMMC_ModelOverview.pdf,The contents of this document do not have the force and effect of law and are not meant to bind the public in any way. This document is intended only to provide clarity to the public regarding existing CMMC security requirements under the law or departmental policies.,CMMC-MODEL-OVERVIEW-V2.13
CMMC-MODEL-OVERVIEW-V2.0,Cybersecurity Maturity Model Certification (CMMC) Model Overview,2.0,December 2021,,superseded,KB 2/USA/CMMC/USA_CMMC_ModelOverview_V2_0_FINAL2_20211202_508.pdf,"Copyright 2020, 2021 Carnegie Mellon University and The Johns Hopkins University Applied Physics Laboratory LLC.",CMMC-MODEL-OVERVIEW-V2.0
COGR-CMMC-2.0-OVERVIEW-2025,Department of Defense Cybersecurity Maturity Model Certification 2.0 (COGR overview),"UPDATED October 6, 2025",October 2025,,secondary/explanatory,KB 2/USA/CMMC/USA_CMMC_COGR_CMMC_Overview_Update_October_2025.pdf,COGR DoD CMMC 2.0 Overview,COGR-CMMC-2.0-OVERVIEW-2025
INFOR-EXEC-BRIEF-CMMC,"Updated Cybersecurity Maturity Model Certification (CMMC) - Executive Brief, Aerospace & Defense",,2022,INF-2642255-en-US-0222-1,secondary/vendor,KB 2/USA/CMMC/USA_CMMC_Cybersecurity_Maturity_Model_Certification_CMMC.pdf,Copyright 2022 Infor. All rights reserved.,INFOR-EXEC-BRIEF-CMMC
