provision_id,number,parent_provision_id,amendment_item_id,text,deadline,obligated_party,source_document
prov_1_1,1.1,,amd_1,the insertion of the following definition before the definition,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_1_2,1.2,,amd_1,"“day” means a calendar day, unless the last day of a specified period happens to fall on a Sunday or on any public holiday, in which case the time shall be calculated exclusive of that Sunday or public holiday in accordance with section 4 of the Interpretation Act, 1957 (Act No. 33 of 1957);",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_1_3,1.3,,amd_1,Insertion of the following definitions before the definition of “signature”,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_1_4,1.4,,amd_1,Insertion of the following definitions after the definition of “signature”,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_2_1,2.1,,amd_2,"A data subject who wishes to object to the processing of personal information in terms of section 11(3)(a) of the Act, must submit the objection to a responsible party at any time during office hours of a responsible party and free of charge.",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_2_2,2.2,,amd_2,"A data subject who wishes to object to the processing of personal information in terms of section 11(3)(b) of the Act, must submit the objection to a responsible party at any time during office hours of a responsible party and free of charge.",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_2_3,2.3,,amd_2,"A data subject who wishes to object to the processing of personal information must do so on a form substantially similar to Form 1, free of charge and reasonably accessible to a data subject by hand, fax, post, email, SMS, or WhatsApp and or in any manner expedient to a data subject in terms of section 11(3)(a) of the Act;",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_2_4,2.4,,amd_2,"A responsible party must, when collecting personal information of a data subject, notify the data subject, in terms of Section 18(1)(h)(iv) of the Act, of their right to object, as referred to in Section 11(3) of the Act.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_2_5,2.5,,amd_2,"If an objection to the processing of personal information of a data subject is made telephonically, such an objection shall be electronically recorded by a responsible party and upon request, be made available to the data subject in any manner, including the transcription thereof.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_1,3.1,,amd_3,"A data subject has the right, in terms of section 24 of the Act, to request, where necessary, the correction, destruction, or deletion of his, her or its personal information.",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_2,3.2,,amd_3,"A data subject, who wishes to request a correction or deletion of his, her, or its personal information, as provided for in section 24(1) (a) of the Act, has the right to request for correction or deletion of personal information at any time and free of charge, if the personal information is inaccurate, irrelevant, excessive, out of date, incomplete, misleading or obtained unlawfully.",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_3,3.3,,amd_3,"A data subject, who wishes to request the destruction or deletion of a record of his, her, or its personal information, in terms of section 24(1) (b) of the Act, has the right to request the destruction or deletion of a record of his, her or its personal information at any time and free of charge, if a responsible party is no longer authorised to retain in terms of section 14 of the Act.",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_4,3.4,,amd_3,"A request for a correction or deletion of personal information, as referred to in sub regulation 3.2 or a request for the destruction or deletion of a record of personal information, as referred to sub regulation 3.3 must be submitted to a responsible party on a form which is substantially similar to Form 2 free of charge and reasonably accessible to a data subject by hand, fax, post, email, SMS, WhatsApp message or in any manner expedient to a data subject;",,data subject,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_5,3.5,,amd_3,"A request for a correction or deletion of personal information by telephonic means shall be recorded by a responsible party and such recording must, upon request, be made available to a data subject in any manner, including the transcription thereof which shall be free of charge.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_3_6,3.6,,amd_3,"A responsible party must, within thirty (30) days of receipt of the outcome of the request referred to in sub regulation 3.2 or 3.3, notify a data subject, in writing, of the action taken as a result of the request.",thirty (30) days of receipt of the outcome of the request,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_4_1,4.1,,amd_4,Sub regulation 4(1)(c) of the Regulations is hereby deleted,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_4_2,4.2,,amd_4,by inserting the words and “continually improved” at the end in Sub Regulation 4(1) (a).,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_4_3,4.3,,amd_4,Sub Regulation 4 (2) of the 2018 POPIA Regulations is hereby deleted.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_5_1,5.1,,amd_5,the substitution of the words “private or public body” for “relevant body/bodies”.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_5_2,5.2,,amd_5,amending Form 3 of the Regulations.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_1,6.1,,amd_6,"A responsible party who wishes to process the personal information of a data subject for the purposes of direct marketing through unsolicited electronic communication must in terms of section 69(2) of the Act obtain written consent from a data subject on a form substantially similar to Form 4 or in any manner that may be expedient, free of charge and reasonably accessible to a data subject, including-",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_1_1,6.1.1,prov_6_1,amd_6,email;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_1_2,6.1.2,prov_6_1,amd_6,telephonically;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_1_3,6.1.3,prov_6_1,amd_6,SMS or WhatsApp;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_1_4,6.1.4,prov_6_1,amd_6,facsimile;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
