source_id,target_id,rel_type,quote
def_day,ext_interpretation_1957,REFERENCES_STATUTE,"in accordance with section 4 of the Interpretation Act, 1957 (Act No. 33 of 1957)"
prov_1_2,ext_interpretation_1957,REFERENCES_STATUTE,"in accordance with section 4 of the Interpretation Act, 1957 (Act No. 33 of 1957)"
def_writing,ext_ecta_2002,REFERENCES_STATUTE,"means writing as referred to in section 12 of the Electronic Communication and Transaction Act, 2022 (Act No. 25 of 2002)"
prov_7_10,ext_pda_2000,REFERENCES_STATUTE,"protected in terms of the Protected Disclosures Act, 2000 (Act No. 26 of 2000) (PDA)"
amd_10,ext_regs_2018,REFERENCES_STATUTE,"Anything done under a provision of the Regulations relating to the Protection of Personal Information Act: Regulations: GG 42110, RG 10897, GoN 1383, 14 Dec 2018"
inst_amendment_2025,ext_regs_2018,AMENDS,"amended Regulations relating to the Protection of Personal Information Act: Regulations as per: GG 42110, RG 10897, GoN 1383, 14 Dec 2018, in the Schedule."
