formsection_id,form_id,label,text,source_document
fs_1_note1,form_1,Note 1,"If the space provided for in this Form is inadequate, submit information as an Annexure to this Form.","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_1_note2,form_1,Note 2,Complete as is applicable.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_1_A,form_1,A,DETAILS OF DATA SUBJECT,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_1_B,form_1,B,DETAILS OF RESPONSIBLE PARTY,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_1_C,form_1,C,REASONS FOR OBJECTION IN TERMS OF SECTION 11(3)(a) (Please provide detailed reasons for the objection),"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_note1,form_2,Note 1,Affidavits or other documentary evidence as applicable in support of the request may be attached.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_note2,form_2,Note 2,"If the space provided for in this Form is inadequate, submit information as an Annexure to this Form and sign each page.","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_note3,form_2,Note 3,Complete as is applicable.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_req_a,form_2,Request (a),Correction or deletion of personal information about the data subject which is in possession or under the control of the responsible party. Please select applicable reasons for the selected request: (a) Inaccurate (b) Irrelevant (c) Excessive (d) Out of Date (e) Incomplete (f) Misleading (g) Obtained unlawfully,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_req_b,form_2,Request (b),Destruction or deletion of a record of personal information about the data subject which is in the possession or under the control of the responsible party who is no longer authorised to retain the record of information.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_A,form_2,A,DETAILS OF THE DATA SUBJECT,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_B,form_2,B,DETAILS OF RESPONSIBLE PARTY,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_C,form_2,C,PERSONAL INFORMATION TO BE CORRECTED/DESTROYED/DELETED (Please specify the personal information required to be corrected / destroyed / deleted),"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_2_D,form_2,D,EXPLANATION FOR THE SELECTED REASON FOR A REQUEST (Please provide detail explanation for the selected reasons for the request for correction or deletion of personal information which is in possession or under the control of the responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_3_A,form_3,A,DETAILS OF THE RELEVANT BODY /BODIES,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_3_B,form_3,B,DETAILS OF PERSON WHO COMPLETES THIS FORM,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_3_C,form_3,C,REASONS FOR APPLICATION TO ISSUE A CODE OF CONDUCT (Please provide detailed reasons for the request and all relevant supporting documentation),"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_4_A,form_4,PART A,"TO: (Name of data subject) FROM: (Name, address and contact details of responsible party) Contact number(s): Fax number: E-mail address: Specify goods or services to be marketed: Full names and designation of person signing on behalf of responsible party: Signature of designated person Date:","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_4_B,form_4,PART B,"DATA SUBJECT'S CONSENT. I, (full names of data subject) hereby: Give my consent. To receive direct marketing by means of unsolicited electronic communication in respect of the goods or services to be marketed. SPECIFY METHOD OF PREFERRED COMMUNICATION: FAX; E - MAIL; SMS; OTHERS - Please specify:","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_5_note1,form_5,Note 1,Affidavits or other documentary evidence as applicable in support of the request may be attached.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_5_note2,form_5,Note 2,"If the space provided for in this Form is inadequate, submit information as an Annexure to this Form and sign each page.","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_5_note3,form_5,Note 3,Complete as is applicable.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_5_type,form_5,Complaint regarding,Alleged interference with the protection of personal information; Determination of an adjudicator.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
fs_5_I,form_5,PART I,"ALLEGED INTERFERENCE WITH THE PROTECTION OF THE PERSONAL INFORMATION IN TERMS OF SECTION 74(1) OF THE PROTECTION OF PERSONAL INFORMATION ACT, 2013 (Act No. 4 of 2013). A PARTICULARS OF COMPLAINANT; B PARTICULARS OF RESPONSIBLE PARTY INTERFERING WITH PERSONAL INFORMATION; C REASONS FOR COMPLAINT (Please provide detailed reasons for the complaint)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
