definition_id,term,definition_text,introduced_by_provision,source_document
def_complainant,complainant,means any person who lodges a complaint with the Information Regulator;,prov_1_1,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
def_complaint,complaint,means- (a) a matter reported to the Information Regulator in terms of section 74(1) and (2) of the Act; (b) a complaint referred to in section 76(1)(e) and 92(1) of the Act; and (c) a matter reported or referred to the Information Regulator in terms of other legislation that regulates the mandate of the Information Regulator.,prov_1_1,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
def_day,day,"means a calendar day, unless the last day of a specified period happens to fall on a Sunday or on any public holiday, in which case the time shall be calculated exclusive of that Sunday or public holiday in accordance with section 4 of the Interpretation Act, 1957 (Act No. 33 of 1957);",prov_1_2,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
def_office_hours,Office hours,"(a) in respect of offices of the Information Regulator, means the hours between 08:00 and 16:00 on Monday to Friday, excluding public holidays; and (b) in respect of offices designated by the Information Regulator, means the hours during which the offices are operating;",prov_1_3,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
def_relevant_body,Relevant body/bodies,"refers to any specified body or class of bodies, or any specified industry, profession, or vocation or class of industries, professions, or vocations that in the opinion of the Regulator which has sufficient representation",prov_1_3,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
def_writing,writing,"means writing as referred to in section 12 of the Electronic Communication and Transaction Act, 2022 (Act No. 25 of 2002)",prov_1_4,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
