amendmentitem_id,number,heading,kind,target_regulation,text,substituted_regulation_heading,source_document
amd_1,1,Amendment of Regulation 1,Amendment,Regulation 1,Regulation 1 of the Regulations is hereby amended by-,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_2,2,Substitution of Regulation 2,Substitution,Regulation 2,Regulation 2 is hereby substituted in the Regulations for the following:,Objection to the processing of personal information,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_3,3,Substitution of Regulation 3,Substitution,Regulation 3,Regulation 3 is hereby substituted in the Regulations for the following:,Request for correction or deletion of personal information or destruction or deletion of record of personal information,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_4,4,Amendment of Regulation 4,Amendment,Regulation 4,The heading of Regulation 4 is hereby substituted for the following: Additional duties and responsibilities of Information Officer,Additional duties and responsibilities of Information Officer,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_5,5,Amendment of Regulation 5,Amendment,Regulation 5,Regulation 5 of the Regulations is hereby amended by-,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_6,6,Substitution of Regulation 6,Substitution,Regulation 6,Regulation 6 of the Regulations is hereby substituted for the following regulations:,Request for a data subject's consent to process personal information for direct marketing through unsolicited electronic communication.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_7,7,Amendment of Regulation 7,Amendment,Regulation 7,Regulation 7 of the Regulations is hereby amended by insertion of Regulation 7.3 to 7.18,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_12,12,Amendment of Regulation 12,Amendment,Regulation 12,"Regulation 12 is hereby amended by- “Deletion of Form 17, 18 and 19”.",,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_13,13,Insertion of new Regulation 13,Insertion,Regulation 13,Administrative Fines,Administrative Fines,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_10,10,Transitional provisions,Free-standing provision,,"Anything done under a provision of the Regulations relating to the Protection of Personal Information Act: Regulations: GG 42110, RG 10897, GoN 1383, 14 Dec 2018 and which could have been done under a provision of these Regulations, is regarded as having been done under the later provision.",,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
amd_11,11,Short title,Free-standing provision,,"These Regulations shall be called the amendment to Regulations relating to the Protection of Personal Information, 2018 and shall commence on a date to be determined by the Regulator by proclamation in the Government Gazette.",,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
