externalinstrument_id,citation,cited_provision,source_document
ext_interpretation_1957,"Interpretation Act, 1957 (Act No. 33 of 1957)",section 4,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
ext_ecta_2002,"Electronic Communication and Transaction Act, 2022 (Act No. 25 of 2002)",section 12,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
ext_pda_2000,"Protected Disclosures Act, 2000 (Act No. 26 of 2000) (PDA)",,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
ext_regs_2018,"Regulations relating to the Protection of Personal Information Act: Regulations: GG 42110, RG 10897, GoN 1383, 14 Dec 2018",,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
