form_id,label,title,prescribed_by_regulation,status,source_document
form_1,FORM 1,"OBJECTION TO THE PROCESSING OF PERSONAL INFORMATION IN TERMS OF SECTION 11(3) OF THE PROTECTION OF PERSONAL INFORMATION ACT, 2013 (ACT NO. 4 OF 2013)",Regulation 2,prescribed,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_2,FORM 2,"REQUEST FOR CORRECTION OR DELETION OF PERSONAL INFORMATION OR DESTROYING OR DELETION OF RECORD OF PERSONAL INFORMATION IN TERMS OF SECTION 24(1) OF THE PROTECTION OF PERSONAL INFORMATION ACT, 2013 (ACT NO. 4 OF 2013)",Regulation 3,prescribed,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_3,FORM 3,"APPLICATION FOR THE ISSUE OF A CODE OF CONDUCT IN TERMS OF SECTION 61(1)(b) OF THE PROTECTION OF PERSONAL INFORMATION ACT, 2013 (ACT NO. 4 OF 2013)",Regulation 5,prescribed,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_4,FORM 4,REQUEST FOR THE CONSENT OF A DATA SUBJECT FOR THE PROCESSING OF PERSONAL INFORMATION FOR THE PURPOSE OF DIRECT MARKETING THOUGH UNSOLICITED ELECTRONIC COMMUNICATION IN TERMS OF SECTION 69 (2) OF THE ACT,Regulation 6,prescribed,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_5,FORM 5,"COMPLAINT REGARDING INTERFERENCE WITH THE PROTECTION OF PERSONAL INFORMATION/COMPLAINT REGARDING DETERMINATION OF AN ADJUDICATOR IN TERMS OF SECTION 74 OF THE PROTECTION OF PERSONAL INFORMATION ACT, 2013 (ACT NO. 4 OF 2013)",Regulation 7,prescribed,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_17,Form 17,,Regulation 12,deleted,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_18,Form 18,,Regulation 12,deleted,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
form_19,Form 19,,Regulation 12,deleted,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
