actsection_id,citation,act,source_document
actsec_11_3,section 11(3),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_11_3_a,section 11(3)(a),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_11_3_b,section 11(3)(b),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_14,section 14,"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_18_1_h_iv,section 18(1)(h)(iv),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_24,section 24,"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_24_1,section 24(1),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_24_1_a,section 24(1)(a),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_24_1_b,section 24(1)(b),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_61_1_b,section 61(1)(b),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_63_3,section 63(3),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
