definitionparagraph_id,definition_id,label,text,source_document
defp_complaint_a,def_complaint,(a),a matter reported to the Information Regulator in terms of section 74(1) and (2) of the Act;,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
defp_complaint_b,def_complaint,(b),a complaint referred to in section 76(1)(e) and 92(1) of the Act; and,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
defp_complaint_c,def_complaint,(c),a matter reported or referred to the Information Regulator in terms of other legislation that regulates the mandate of the Information Regulator.,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
defp_office_hours_a,def_office_hours,(a),"in respect of offices of the Information Regulator, means the hours between 08:00 and 16:00 on Monday to Friday, excluding public holidays; and","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
defp_office_hours_b,def_office_hours,(b),"in respect of offices designated by the Information Regulator, means the hours during which the offices are operating;","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
