chapter_id,number,title,article_range,source_document
ch_1,I,GENERAL PROVISIONS,1-2,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_2,II,PRINCIPLES,3,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_3,III,TYPES OF PERSONAL DATA,4,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_4,IV,RIGHTS OF PERSONAL DATA SUBJECTS,5-15,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_5,V,PROCESSING OF PERSONAL DATA,16-18,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_6,VI,OBLIGATIONS ON PERSONAL DATA CONTROLLERS AND PERSONAL DATA PROCESSORS IN THE PROCESSING OF PERSONAL DATA,19-54,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_7,VII,TRANSFER OF PERSONAL DATA,55-56,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_8,VIII,ADMINISTRATIVE SANCTIONS,57,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_9,IX,INSTITUTIONAL ARRANGEMENTS,58-61,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_10,X,INTERNATIONAL COOPERATION,62,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_11,XI,PUBLIC PARTICIPATION,63,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_12,XII,SETTLEMENT OF DISPUTES AND PROCEDURAL LAW,64,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_13,XIII,PROHIBITIONS ON MISUSE OF PERSONAL DATA,65-66,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_14,XIV,PENAL PROVISIONS,67-73,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_15,XV,TRANSITIONAL PROVISIONS,74-75,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
ch_16,XVI,CONCLUDING PROVISIONS,76,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
