sanction_id,category,clause_id,text,imprisonment_max,fine_max,source_document
sanc_adm_a,Administrative sanction,art_57_2_a,written warning;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_adm_b,Administrative sanction,art_57_2_b,suspension of processing of Personal Data;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_adm_c,Administrative sanction,art_57_2_c,erasure or destruction of Personal Data; and/or,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_adm_d,Administrative sanction,art_57_2_d,administrative fines.,,"2 (two) percent of the annual income, or annual revenue attributable to the various amounts received in breach of the regulation",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_crim_67_1,Criminal penalty,art_67_1,"Any Person who intentionally or unlawfully acquires or collects Personal Data other than their own with intent to benefit themselves or other persons to cause harm to a Personal Data Subject under Article 65 (1) shall be sentenced to imprisonment of up to 5 (five) years and/or a fine of up to Rp5,000,000,000.00 (five billion rupiah).",5 (five) years,"Rp5,000,000,000.00 (five billion rupiah)",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_crim_67_2,Criminal penalty,art_67_2,"Any Person who intentionally or unlawfully discloses Personal Data other than their own under Article 65 section (2) shall be sentenced to imprisonment of up to 4 (four) years and/or a fine of up to Rp4,000,000,000.00 (four billion rupiah).",4 (four) years,"Rp4,000,000,000.00 (four billion rupiah)",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_crim_67_3,Criminal penalty,art_67_3,"Any Person who intentionally or unlawfully uses Personal Data other than their own under Article 65 section (3) shall be sentenced to imprisonment of up to 5 (five) years and/or a fine of up to Rp5,000,000,000.00 (five billion rupiah).",5 (five) years,"Rp5,000,000,000.00 (five billion rupiah)",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_crim_68,Criminal penalty,,"Any Person who intentionally makes false Personal Data or falsifies Personal Data with intent to benefit themselves or other persons to cause harm to other persons under Article 66 shall be sentenced to imprisonment of up to 6 (six) years and/or a fine of up to Rp6,000,000,000.00 (six billion rupiah).",6 (six) years,"Rp6,000,000,000.00 (six billion rupiah)",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_add_69,Additional criminal sentence,,"In addition to the sentence under Articles 67 and 68, an additional sentence may be imposed as seizure of profits and/or assets acquired or the proceeds from a criminal offense, and payment of compensation.",,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_2,Corporate criminal penalty,art_70_2,The only sentence that may be imposed on a Corporation shall be a fine.,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_3,Corporate criminal penalty,art_70_3,A fine imposed on a Corporation shall not exceed 10 (ten) times the maximum fine that could be imposed.,,10 (ten) times the maximum fine that could be imposed,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_a,Additional corporate penalty,art_70_4_a,seizure of profits and/or assets acquired or the proceeds from a criminal offense;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_b,Additional corporate penalty,art_70_4_b,suspension of whole or part of the Corporation's business;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_c,Additional corporate penalty,art_70_4_c,a permanent prohibition on engaging in specified acts;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_d,Additional corporate penalty,art_70_4_d,closure of all or part of the place of business or activities of the Corporation;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_e,Additional corporate penalty,art_70_4_e,compulsory fulfilment of ignored obligations;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_f,Additional corporate penalty,art_70_4_f,payment of compensation;,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_g,Additional corporate penalty,art_70_4_g,revocation of license; and/or,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_corp_70_4_h,Additional corporate penalty,art_70_4_h,dissolution of the Corporation.,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
sanc_sub_72_1,Substitute corporate penalty,art_72_1,"Where seizure and auction of assets or income under Article 71 section (4) is taken against a convicted Corporation and are insufficient to cover the fine, the Corporation shall be penalized instead with suspension of all or part of the Corporation's business activities for a period not exceeding 5 (five) years.",,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
