clause_id,article_id,parent_clause_id,label,level,text,source_document
art_4_3_a,art_4,art_4_3,a.,letter,full name;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_3_b,art_4,art_4_3,b.,letter,gender;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_3_c,art_4,art_4_3,c.,letter,citizenship;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_3_d,art_4,art_4_3,d.,letter,religion;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_3_e,art_4,art_4_3,e.,letter,marriage status; and/or,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4_3_f,art_4,art_4_3,f.,letter,Personal Data as combined to identify a person.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_7_note,art_7,,,note,"The right to obtain a copy of Personal Data is free of charge, except for certain conditions where a fee is required.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_10_1,art_10,,(1),paragraph,"A Personal Data Subject shall have the right to file an objection to a decision based solely on automated processing, including profiling, which has a legal impact concerning him/her or has a significant impact on the Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_10_2,art_10,,(2),paragraph,Ancillary provisions for filing of an objection and automated processing under section (1) will be stipulated by Regulation of the Government.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_12_1,art_12,,(1),paragraph,A Personal Data Subject shall have the right to claim for and recover damages for a breach of the processing of Personal Data concerning him/her in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_12_2,art_12,,(2),paragraph,Ancillary provisions for a breach of Personal Data processing and procedures for imposing compensation under section (1) shall be stipulated by Regulation of the Government.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_13_1,art_13,,(1),paragraph,"A Personal Data Subject shall have the right to acquire and/or use Personal Data concerning him/her from a Personal Data Controller in a structured, commonly used and/or electronic system-readable format.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_13_2,art_13,,(2),paragraph,"A Personal Data Subject shall have the right to use and transmit Personal Data concerning him/her to another Personal Data Controller, to the extent the system used can mutually exchange communications securely within the principle of Personal Data protection under this Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_13_3,art_13,,(3),paragraph,Ancillary provisions for the rights of a Personal Data Subject to use and transmit Personal Data under section (2) shall be stipulated by Regulation of the Government.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1,art_15,,(1),paragraph,"The rights of a Personal Data Subject under Articles 8, 9, 10 (1), 11, and 13 (1) and (2) shall be exempt in:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1_a,art_15,art_15_1,a.,letter,the interests of national defense and security;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1_b,art_15,art_15_1,b.,letter,the interests of law enforcement;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1_c,art_15,art_15_1,c.,letter,the public interest in the scope of the administration of the state;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1_d,art_15,art_15_1,d.,letter,"the interest of supervision of the financial sector, monetary sector, financial system, and financial system stability carried out within the scope of the administration of the state; or",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_1_e,art_15,art_15_1,e.,letter,the purpose of statistical and scientific research.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15_2,art_15,,(2),paragraph,Exemptions under section (1) shall apply only to enforce Laws.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1,art_16,,(1),paragraph,Processing of Personal Data shall include:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_a,art_16,art_16_1,a.,letter,acquisition and collection;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_b,art_16,art_16_1,b.,letter,processing and analysis;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_c,art_16,art_16_1,c.,letter,storage;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_d,art_16,art_16_1,d.,letter,rectification and update;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_e,art_16,art_16_1,e.,letter,"display, publication, transfer, dissemination, or disclosure; and/or",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_1_f,art_16,art_16_1,f.,letter,erasure or destruction.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2,art_16,,(2),paragraph,"Personal Data under section (1) shall be processed within the principle of protection of Personal Data, and include:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_a,art_16,art_16_2,a.,letter,"Personal Data shall be collected in a restricted, specific, lawful, fair, and transparent manner;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_b,art_16,art_16_2,b.,letter,Personal Data shall be processed in accordance with its purpose;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_c,art_16,art_16_2,c.,letter,Personal Data shall be processed by guaranteeing the rights of the Personal Data Subject;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_d,art_16,art_16_2,d.,letter,"Personal Data shall be processed in a manner accurate, complete, not misleading, up to date, and accountable;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
