article_id,number,label,chapter_id,part_id,text,source_document
art_1,1,Article 1,ch_1,,In this Law:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_2,2,Article 2,ch_1,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_3,3,Article 3,ch_2,,This Law has the following key principles:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_4,4,Article 4,ch_3,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_5,5,Article 5,ch_4,,"A Personal Data Subject shall have the right to acquire Information on the full identity, the legal grounds, the purpose of the request and the use of Personal Data, and the accountability of the party requesting the Personal Data.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_6,6,Article 6,ch_4,,"A Personal Data Subject shall have the right to complete, update, and/or rectify errors and/or inaccuracy of Personal Data concerning him/her according to the purpose for which the Personal Data is processed.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_7,7,Article 7,ch_4,,A Personal Data Subject shall have the right to have access to and obtain a copy of Personal Data concerning him/her in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_8,8,Article 8,ch_4,,"A Personal Data Subject shall have the right to end the processing, erase, and/or destroy Personal Data concerning him/her in accordance with law and regulations.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_9,9,Article 9,ch_4,,A Personal Data Subject shall have the right to withdraw the consent to the processing of Personal Data concerning him/her that has been given to the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_10,10,Article 10,ch_4,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_11,11,Article 11,ch_4,,A Personal Data Subject shall have the right to postpone or restrict the processing of Personal Data in proportion to the purpose for which the Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_12,12,Article 12,ch_4,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_13,13,Article 13,ch_4,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_14,14,Article 14,ch_4,,The rights of a Personal Data Subject under Article 6 through Article 11 shall be claimed by submitting a written request electronically or nonelectronically to the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_15,15,Article 15,ch_4,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16,16,Article 16,ch_5,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17,17,Article 17,ch_5,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_18,18,Article 18,ch_5,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_19,19,Article 19,ch_6,part_6_1,Personal Data Controllers and Personal Data Processors include:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_20,20,Article 20,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21,21,Article 21,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22,22,Article 22,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_23,23,Article 23,ch_6,part_6_2,A clause of an agreement stipulating a request for processing of Personal Data without explicit valid consent from the Personal Data Subject shall be declared void by operation of law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_24,24,Article 24,ch_6,part_6_2,"In processing Personal Data, a Personal Data Controller must show proof of consent given by a Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_25,25,Article 25,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_26,26,Article 26,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_27,27,Article 27,ch_6,part_6_2,"A Personal Data Controller must process Personal Data in a restricted and specific, lawful, and transparent manner;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_28,28,Article 28,ch_6,part_6_2,A Personal Data Controller must process Personal Data in accordance with the purpose for which the Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_29,29,Article 29,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
