prohibition_id,article_id,clause_id,text,source_document
proh_65_1,art_65,art_65_1,Any Person is prohibited from unlawfully acquiring or collecting Personal Data other than their own with intent to benefit themselves or other persons to cause harm to a Personal Data Subject.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
proh_65_2,art_65,art_65_2,Any Person is prohibited from unlawfully disclosing Personal Data other than their own.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
proh_65_3,art_65,art_65_3,Any Person is prohibited from unlawfully using Personal Data other than their own.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
proh_66,art_66,,Any Person is prohibited from producing falsified Personal Data or falsifying Personal Data with intent to benefit themselves or other persons to cause harm to other persons.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
