obligation_id,bearer,article_id,clause_id,text,source_document
obl_20_1,Personal Data Controller,art_20,art_20_1,A Personal Data Controller must have a basis upon which Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_21_1,Personal Data Controller,art_21,art_21_1,"Where Personal Data should be processed on the basis of the consent under Article 20 section (2), a Personal Data Controller must notify:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_21_2,Personal Data Controller,art_21,art_21_2,"In the event of alteration of Information under section (1), a Personal Data Controller must notify the Personal Data Subject before the alteration.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_24,Personal Data Controller,art_24,,"In processing Personal Data, a Personal Data Controller must show proof of consent given by a Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_25_2,Personal Data Controller,art_25,art_25_2,The processing of Personal Data of children under section (1) must obtain consent from the children's parents and/or guardian in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_26_3,Personal Data Controller,art_26,art_26_3,The processing of Personal Data of persons with disabilities under section (2) must obtain consent from the person with disabilities and/or guardians of the person with disabilities in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_27,Personal Data Controller,art_27,,"A Personal Data Controller must process Personal Data in a restricted and specific, lawful, and transparent manner;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_28,Personal Data Controller,art_28,,A Personal Data Controller must process Personal Data in accordance with the purpose for which the Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_29_1,Personal Data Controller,art_29,art_29_1,"A Personal Data Controller must ensure the accuracy, completeness, and consistency of Personal Data under law and regulations.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_29_2,Personal Data Controller,art_29,art_29_2,"To ensure the accuracy, completeness, and consistency of Personal Data under section (1), a Personal Data Controller must verify it.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_30_1,Personal Data Controller,art_30,art_30_1,A Personal Data Controller must update and/or rectify errors and/or inaccuracy of Personal Data within 3 x 24 (three periods of twenty-four) hours of receipt of a request for update and/or rectification of the Personal Data by the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_30_2,Personal Data Controller,art_30,art_30_2,A Personal Data Controller must notify the Personal Data Subject of the results of update and/or rectification of the Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_31,Personal Data Controller,art_31,,A Personal Data Controller must record all of the activities for the processing of Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_32_1,Personal Data Controller,art_32,art_32_1,"A Personal Data Controller must provide the Personal Data Subject with access to Personal Data being processed, along with the records of Personal Data processing within the storage period of the Personal Data.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_33,Personal Data Controller,art_33,,A Personal Data Controller must decline to provide a Personal Data Subject access to the Personal Data alteration if it would:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_34_1,Personal Data Controller,art_34,art_34_1,A Personal Data Controller must assess the impact of Personal Data Protection on the processing of Personal Data with a high potential risk to the Personal Data Subject.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_35,Personal Data Controller,art_35,,A Personal Data Controller must protect and ensure the security of Personal Data he/she processes by:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_36,Personal Data Controller,art_36,,"In processing Personal Data, a Personal Data Controller must maintain its confidentiality.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_37,Personal Data Controller,art_37,,A Personal Data Controller must supervise parties involved in the processing of Personal Data under their control.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_38,Personal Data Controller,art_38,,A Personal Data Controller must protect Personal Data from its unauthorized processing.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
