source_id,target_id,rel_type,instrument
art_10_2,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_12_2,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_13_3,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_16_3,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_34_3,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_48_5,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_54_3,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_56_5,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_57_5,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
art_58_5,law_ID_PDP_2022,DELEGATES_TO,Regulation of the President
art_61,law_ID_PDP_2022,DELEGATES_TO,Regulation of the Government
