right_id,name,article_id,clause_id,text,source_document
right_5,Right to information about the requesting party,art_5,,"A Personal Data Subject shall have the right to acquire Information on the full identity, the legal grounds, the purpose of the request and the use of Personal Data, and the accountability of the party requesting the Personal Data.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_6,"Right to complete, update and/or rectify",art_6,,"A Personal Data Subject shall have the right to complete, update, and/or rectify errors and/or inaccuracy of Personal Data concerning him/her according to the purpose for which the Personal Data is processed.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_7,Right of access and to obtain a copy,art_7,,A Personal Data Subject shall have the right to have access to and obtain a copy of Personal Data concerning him/her in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_8,"Right to end processing, erase and/or destroy",art_8,,"A Personal Data Subject shall have the right to end the processing, erase, and/or destroy Personal Data concerning him/her in accordance with law and regulations.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_9,Right to withdraw consent,art_9,,A Personal Data Subject shall have the right to withdraw the consent to the processing of Personal Data concerning him/her that has been given to the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_10,Right to object to automated decision-making,art_10,art_10_1,"A Personal Data Subject shall have the right to file an objection to a decision based solely on automated processing, including profiling, which has a legal impact concerning him/her or has a significant impact on the Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_11,Right to postpone or restrict processing,art_11,,A Personal Data Subject shall have the right to postpone or restrict the processing of Personal Data in proportion to the purpose for which the Personal Data is processed.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_12,Right to claim and recover damages,art_12,art_12_1,A Personal Data Subject shall have the right to claim for and recover damages for a breach of the processing of Personal Data concerning him/her in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_13_1,Right to acquire and/or use Personal Data in a portable format,art_13,art_13_1,"A Personal Data Subject shall have the right to acquire and/or use Personal Data concerning him/her from a Personal Data Controller in a structured, commonly used and/or electronic system-readable format.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
right_13_2,Right to use and transmit Personal Data to another Controller,art_13,art_13_2,"A Personal Data Subject shall have the right to use and transmit Personal Data concerning him/her to another Personal Data Controller, to the extent the system used can mutually exchange communications securely within the principle of Personal Data protection under this Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
