control_id,control_name,category,category_name,legacy_mapping,is_new,full_description
A.2.2,AI policy,A.2,Policies related to AI,,Yes,"The organization shall document a policy for the development or use of AI systems."
A.2.3,Alignment with other organizational policies,A.2,Policies related to AI,,Yes,"The organization shall determine where other policies can be affected by or apply to, the organization's objectives with respect to AI systems."
A.2.4,Review of the AI policy,A.2,Policies related to AI,,Yes,"The AI policy shall be reviewed at planned intervals or additionally as needed to ensure its continuing suitability, adequacy and effectiveness."
A.3.2,AI roles and responsibilities,A.3,Internal organization,,Yes,"Roles and responsibilities for AI shall be defined and allocated according to the needs of the organization."
A.3.3,Reporting of concerns,A.3,Internal organization,,Yes,"The organization shall define and put in place a process to report concerns about the organization's role with respect to an AI system throughout its life cycle."
A.4.2,Resource documentation,A.4,Resources for AI systems,,Yes,"The organization shall identify and document relevant resources required for the activities at given AI system life cycle stages and other AI-related activities relevant for the organization."
A.4.3,Data resources,A.4,Resources for AI systems,,Yes,"As part of resource identification, the organization shall document information about the data resources utilized for the AI system."
A.4.4,Tooling resources,A.4,Resources for AI systems,,Yes,"As part of resource identification, the organization shall document information about the tooling resources utilized for the AI system."
A.4.5,System and computing resources,A.4,Resources for AI systems,,Yes,"As part of resource identification, the organization shall document information about the system and computing resources utilized for the AI system."
A.4.6,Human resources,A.4,Resources for AI systems,,Yes,"As part of resource identification, the organization shall document information about the human resources and their competences utilized for the development, deployment, operation, change management, maintenance, transfer and decommissioning, as well as verification and integration of the AI system."
A.5.2,AI system impact assessment process,A.5,Assessing impacts of AI systems,,Yes,"The organization shall establish a process to assess the potential consequences for individuals or groups of individuals, or both, and societies that can result from the AI system throughout its life cycle."
A.5.3,Documentation of AI system impact assessments,A.5,Assessing impacts of AI systems,,Yes,"The organization shall document the results of AI system impact assessments and retain results for a defined period."
A.5.4,Assessing AI system impact on individuals or groups of individuals,A.5,Assessing impacts of AI systems,,Yes,"The organization shall assess and document the potential impacts of AI systems to individuals or groups of individuals throughout the system's life cycle."
A.5.5,Assessing societal impacts of AI systems,A.5,Assessing impacts of AI systems,,Yes,"The organization shall assess and document the potential societal impacts of their AI systems throughout their life cycle."
A.6.1.2,Objectives for responsible development of AI system,A.6.1,Management guidance for AI system development,,Yes,"The organization shall identify and document objectives to guide the responsible development AI systems, and take those objectives into account and integrate measures to achieve them in the development life cycle."
A.6.1.3,Processes for responsible AI system design and development,A.6.1,Management guidance for AI system development,,Yes,"The organization shall define and document the specific processes for the responsible design and development of the AI system."
A.6.2.2,AI system requirements and specification,A.6.2,AI system life cycle,,Yes,"The organization shall specify and document requirements for new AI systems or material enhancements to existing systems."
A.6.2.3,Documentation of AI system design and development,A.6.2,AI system life cycle,,Yes,"The organization shall document the AI system design and development based on organizational objectives, documented requirements and specification criteria."
A.6.2.4,AI system verification and validation,A.6.2,AI system life cycle,,Yes,"The organization shall define and document verification and validation measures for the AI system and specify criteria for their use."
