attribute_type,attribute_value,description
Role,AIProvider,"AI providers, including AI platform providers, AI product or service providers"
Role,AIProducer,"AI producers, including AI developers, AI designers, AI operators, AI testers and evaluators, AI deployers, AI human factor professionals, domain experts, AI impact assessors"
Role,AICustomer,"AI customers, including AI users"
Role,AIPartner,"AI partners, including AI system integrators and data providers"
Role,AISubject,"AI subjects, including data subjects and other subjects"
Role,RelevantAuthority,"Relevant authorities, including policymakers and regulators"
Resource,DataResource,"Data resources, i.e. data used at any stage in the AI system life cycle"
Resource,ToolingResource,"Tooling resources (e.g. AI algorithms, models or tools)"
Resource,ComputingResource,"System and computing resources (e.g. hardware to develop and run AI models, storage for data and tooling resources)"
Resource,HumanResource,"Human resources, i.e. people with the necessary expertise (e.g. for the development, sales, training, operation and maintenance of the AI system)"
Asset,AISystem,"The AI systems that are developed, provided or used by the organization"
Impact,IndividualImpact,"Consequences affecting the physical or psychological well-being of individuals, or universal human rights"
Impact,SocietalImpact,"Consequences to environment sustainability, economic, government, health and safety, or norms, traditions, culture and values"
