category_id,category_name,control_range,description,control_count
A.2,Policies related to AI,A.2.2-A.2.4,"To provide management direction and support for AI systems according to business requirements.",3
A.3,Internal organization,A.3.2-A.3.3,"To establish accountability within the organization to uphold its responsible approach for the implementation, operation and management of AI systems.",2
A.4,Resources for AI systems,A.4.2-A.4.6,"To ensure that the organization accounts for the resources (including AI system components and assets) of the AI system in order to fully understand and address risks and impacts.",5
A.5,Assessing impacts of AI systems,A.5.2-A.5.5,"To assess AI system impacts to individuals or groups of individuals, or both, and societies affected by the AI system throughout its life cycle.",4
A.6.1,Management guidance for AI system development,A.6.1.2-A.6.1.3,"To ensure that the organization identifies and documents objectives and implements processes for the responsible design and development of AI systems.",2
A.6.2,AI system life cycle,A.6.2.2-A.6.2.8,"To define the criteria and requirements for each stage of the AI system life cycle.",7
A.7,Data for AI systems,A.7.2-A.7.6,"To ensure that the organization understands the role and impacts of data in AI systems in the application and development, provision or use of AI systems throughout their life cycles.",5
A.8,Information for interested parties of AI systems,A.8.2-A.8.5,"To ensure that relevant interested parties have the necessary information to understand and assess the risks and their impacts (both positive and negative).",4
A.9,Use of AI systems,A.9.2-A.9.4,"To ensure that the organization uses AI systems responsibly and per organizational policies.",3
A.10,Third-party and customer relationships,A.10.2-A.10.4,"To ensure that the organization understands its responsibilities and remains accountable, and risks are appropriately apportioned when third parties are involved at any stage of the AI system life cycle.",3
