definedterm_id,term,definition,source_document
TERM_COMPENSATING_CONTROL,Compensating control,"A management, operational, and/or technical control (e.g., safeguard or countermeasure) employed by an organization in lieu of a recommended security control in the low, moderate, or high baselines that provides equivalent or comparable protection for an information system.",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
TERM_CYBERSECURITY,cybersecurity,"the process of protecting information by preventing, detecting, and responding to attacks",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
