declarativestatement_id,component_id,component_name,assessmentfactor_id,assessment_factor_name,domain_id,domain_name,maturity_level,text,it_handbook_citation,applicability_note,source_document
C001_S001,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Designated members of management are held accountable by the board or an appropriate board committee for implementing and managing the information security and business continuity programs. (FFIEC Information Security Booklet, page 3)","FFIEC Information Security Booklet, page 3",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S002,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Information security risks are discussed in management meetings when prompted by highly visible cyber events or regulatory alerts. (FFIEC Information Security Booklet, page 6)","FFIEC Information Security Booklet, page 6",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S003,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Management provides a written report on the overall status of the information security and business continuity programs to the board or an appropriate board committee at least annually. (FFIEC Information Security Booklet, page 5)","FFIEC Information Security Booklet, page 5",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S004,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The budgeting process includes information security related expenses and tools. (FFIEC E-Banking Booklet, page 20)","FFIEC E-Banking Booklet, page 20",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S005,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Management considers the risks posed by other critical infrastructures (e.g., telecommunications, energy) to the institution. (FFIEC Business Continuity Planning Booklet, page J-12)","FFIEC Business Continuity Planning Booklet, page J-12",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S006,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,"At least annually, the board or an appropriate board committee reviews and approves the institution’s cybersecurity program.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S007,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,Management is responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S008,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,Cybersecurity tools and staff are requested through the budget process.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S009,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,There is a process to formally discuss and estimate potential expenses associated with cybersecurity incidents as part of the budgeting process.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S010,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The board or an appropriate board committee has cybersecurity expertise or engages experts to assist with oversight responsibilities.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S011,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The standard board meeting package includes reports and metrics that go beyond events and incidents to address threat intelligence trends and the institution’s security posture.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S012,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The institution has a cyber risk appetite statement approved by the board or an appropriate board committee.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S013,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,Cyber risks that exceed the risk appetite are escalated to management.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S014,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The board or an appropriate board committee ensures management’s annual cybersecurity self-assessment evaluates the institution’s ability to meet its cyber risk management standards.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S015,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The board or an appropriate board committee reviews and approves management’s prioritization and resource allocation decisions based on the results of the cyber assessments.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S016,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The board or an appropriate board committee ensures management takes appropriate actions to address changing cyber risks or significant cybersecurity issues.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S017,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The budget process for requesting additional cybersecurity staff and tools is integrated into business units’ budget processes.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S018,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The board or board committee approved cyber risk appetite statement is part of the enterprise-wide risk appetite statement.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S019,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Management has a formal process to continuously improve cybersecurity oversight.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S020,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The budget process for requesting additional cybersecurity staff and tools maps current resources and tools to the cybersecurity strategy.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S021,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Management and the board or an appropriate board committee hold business units accountable for effectively managing all cyber risks associated with their activities.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S022,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Management identifies root cause(s) when cyber attacks result in material loss.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S023,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The board or an appropriate board committee ensures that management’s actions consider the cyber risks that the institution poses to the financial sector.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S024,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Innovative,The board or an appropriate board committee discusses ways for management to develop cybersecurity improvements that may be adopted sector-wide.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C001_S025,C001,Oversight,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Innovative,"The board or an appropriate board committee verifies that management’s actions consider the cyber risks that the institution poses to other critical infrastructures (e.g., telecommunications, energy).",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S001,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has an information security strategy that integrates technology, policies, procedures, and training to mitigate risk. (FFIEC Information Security Booklet, page 3)","FFIEC Information Security Booklet, page 3",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S002,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has policies commensurate with its risk and complexity that address the concepts of information technology risk management. (FFIEC Information Security Booklet, page, 16)","FFIEC Information Security Booklet, page, 16",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S003,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has policies commensurate with its risk and complexity that address the concepts of threat information sharing. (FFIEC E-Banking Booklet, page 28)","FFIEC E-Banking Booklet, page 28",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S004,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has board-approved policies commensurate with its risk and complexity that address information security. (FFIEC Information Security Booklet, page 16)","FFIEC Information Security Booklet, page 16",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S005,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has policies commensurate with its risk and complexity that address the concepts of external dependency or third-party management. (FFIEC Outsourcing Booklet, page 2)","FFIEC Outsourcing Booklet, page 2",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S006,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"The institution has policies commensurate with its risk and complexity that address the concepts of incident response and resilience. (FFIEC Information Security Booklet, page 83)","FFIEC Information Security Booklet, page 83",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S007,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"All elements of the information security program are coordinated enterprise-wide. (FFIEC Information Security Booklet, page 7)","FFIEC Information Security Booklet, page 7",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S008,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,The institution augmented its information security strategy to incorporate cybersecurity and resilience.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S009,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,The institution has a formal cybersecurity program that is based on technology and security industry standards or benchmarks.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S010,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,A formal process is in place to update policies as the institution’s inherent risk profile changes.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S011,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S012,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,Management periodically reviews the cybersecurity strategy to address evolving cyber threats and changes to the institution’s inherent risk profile.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S013,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,"The cybersecurity strategy is incorporated into, or conceptually fits within, the institution’s enterprise-wide risk management strategy.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S014,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,Management links strategic cybersecurity objectives to tactical goals.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S015,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,A formal process is in place to cross-reference and simultaneously update all policies related to cyber risks across business lines.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S016,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The cybersecurity strategy outlines the institution’s future state of cybersecurity with short-term and long-term perspectives.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S017,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Industry-recognized cybersecurity standards are used as sources during the analysis of cybersecurity program gaps.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S018,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The cybersecurity strategy identifies and communicates the institution’s role as a component of critical infrastructure in the financial services industry.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S019,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The risk appetite is informed by the institution’s role in critical infrastructure.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S020,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Management is continuously improving the existing cybersecurity program to adapt as the desired cybersecurity target state changes.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C002_S021,C002,Strategy/Policies,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Innovative,The cybersecurity strategy identifies and communicates the institution’s role as it relates to other critical infrastructures.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S001,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"An inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) is maintained. (FFIEC Information Security Booklet, page 9)","FFIEC Information Security Booklet, page 9",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S002,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Organizational assets (e.g., hardware, systems, data, and applications) are prioritized for protection based on the data classification and business value. (FFIEC Information Security Booklet, page 12)","FFIEC Information Security Booklet, page 12",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
