part_id,title,description,source_document
PART_ONE,Part One: Inherent Risk Profile,"Part one of the Assessment identifies the institution’s inherent risk. The Inherent Risk Profile identifies activities, services, and products organized in the following categories:",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
PART_TWO,Part Two: Cybersecurity Maturity,"After determining the Inherent Risk Profile, the institution transitions to the Cybersecurity Maturity part of the Assessment to determine the institution’s maturity level within each of the following five domains:",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
