assessmentfactor_id,name,definition,domain_id,source_document
D1_AF1,Governance,"Governance includes oversight, strategies, policies, and IT asset management to implement an effective governance of the cybersecurity program.",D1,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D1_AF2,Risk Management,"Risk Management includes a risk management program, risk assessment process, and audit function to effectively manage risk and assess the effectiveness of key controls.",D1,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D1_AF3,Resources,"Resources include staffing, tools, and budgeting processes to ensure the institution’s staff or external resources have knowledge and experience commensurate with the institution’s risk profile.",D1,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D1_AF4,Training and Culture,Training and Culture includes the employee training and customer awareness programs contributing to an organizational culture that emphasizes the mitigation of cybersecurity threats.,D1,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D2_AF1,Threat Intelligence,"Threat Intelligence refers to the acquisition and analysis of information to identify, track, and predict cyber capabilities, intentions, and activities that offer courses of action to enhance decision making.",D2,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D2_AF2,Monitoring and Analyzing,Monitoring and Analyzing refers to how an institution monitors threat sources and what analysis may be performed to identify threats that are specific to the institution or to resolve conflicts in the different threat intelligence streams.,D2,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D2_AF3,Information Sharing,Information Sharing encompasses establishing relationships with peers and information-sharing forums and how threat information is communicated to those groups as well as internal stakeholders.,D2,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D3_AF1,Preventative Controls,"Preventative Controls deter and prevent cyber attacks and include infrastructure management, access management, device and end-point security, and secure coding.",D3,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D3_AF2,Detective Controls,"Detective Controls include threat and vulnerability detection, anomalous activity detection, and event detection, may alert the institution to network and system irregularities that indicate an incident has or may occur.",D3,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D3_AF3,Corrective Controls,Corrective Controls are utilized to resolve system and software vulnerabilities through patch management and remediation of issues identified during vulnerability scans and penetration testing.,D3,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D4_AF1,Connections,"Connections incorporate the identification, monitoring, and management of external connections and data flows to third parties.",D4,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D4_AF2,Relationship Management,"Relationship Management includes due diligence, contracts, and ongoing monitoring to help ensure controls complement the institution’s cybersecurity program. May 2017 6 FFIEC Cybersecurity Assessment Tool User’s Guide",D4,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D5_AF1,Incident Resilience Planning and Strategy,Incident Resilience Planning & Strategy incorporates resilience planning and testing into existing business continuity and disaster recovery plans to minimize service disruptions and the destruction or corruption of data.,D5,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D5_AF2,"Detection, Response, and Mitigation","Detection, Response, & Mitigation refers to the steps management takes to identify, prioritize, respond to, and mitigate the effects of internal and external threats and vulnerabilities.",D5,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
D5_AF3,Escalation and Reporting,"Escalation & Reporting ensures key stakeholders are informed about the impact of cyber incidents, and regulators, law enforcement, and customers are notified as required.",D5,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
