riskcategory_id,name,description,part_id,source_document
CAT_Technologies_and_Connection_Types,Technologies and Connection Types,"Certain types of connections and technologies may pose a higher inherent risk depending on the complexity and maturity, connections, and nature of the specific technology products or services. This category includes the number of Internet service provider (ISP) and third-party connections, whether systems are hosted internally or outsourced, the number of unsecured connections, the use of wireless access, volume of network devices, end-of-life systems, extent of cloud services, and use of personal devices.",PART_ONE,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels,Delivery Channels,Various delivery channels for products and services may pose a higher inherent risk depending on the nature of the specific product or service offered. Inherent risk increases as the variety and number of delivery channels increases. This category addresses whether products and services are available through online and mobile delivery channels and the extent of automated teller machine (ATM) operations.,PART_ONE,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se,Online/Mobile Products and Technology Services,"Different products and technology services offered by institutions may pose a higher inherent risk depending on the nature of the specific product or service offered. This category includes various payment services, such as debit and credit cards, person-to-person payments, originating automated clearing house (ACH), retail wire transfers, wholesale payments, merchant remote deposit capture, treasury services and clients and trust services, global remittances, correspondent banking, and merchant acquiring activities. This category also includes consideration of whether the institution provides technology services to other organizations.",PART_ONE,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Organizational_Characteristics,Organizational Characteristics,"This category considers organizational characteristics, such as mergers and acquisitions, number of direct employees and cybersecurity contractors, changes in security staffing, the number of users with privileged access, changes in information technology (IT) environment, locations of business presence, and locations of operations and data centers.",PART_ONE,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_External_Threats,External Threats,The volume and type of attacks (attempted or successful) affect an institution’s inherent risk exposure. This category considers the volume and sophistication of the attacks targeting the institution.,PART_ONE,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
