resource_id,title,stated_text,source_document
RES_APP_A,Appendix A: Mapping Baseline Statements to FFIEC IT Examination Handbook,Appendix A: Mapping Baseline Statements to FFIEC IT Examination Handbook,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RES_APP_B,Appendix B: Mapping Cybersecurity Assessment Tool to NIST Cybersecurity Framework,A mapping is available in Appendix B: Mapping Cybersecurity Assessment Tool to the NIST Cybersecurity Framework. NIST reviewed and provided input on the mapping to ensure consistency with Framework principles and to highlight the complementary nature of the two resources.,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RES_APP_C,Appendix C: Glossary,Appendix C: Glossary,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RES_CEO,Overview for Chief Executive Officers and Boards of Directors,Overview for Chief Executive Officers and Boards of Directors,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
