source_id,target_id,rel_type,citation
C001_S001,HB_FFIEC_Information_Security_Booklet_page_3,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 3"
C001_S002,HB_FFIEC_Information_Security_Booklet_page_6,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 6"
C001_S003,HB_FFIEC_Information_Security_Booklet_page_5,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 5"
C001_S004,HB_FFIEC_E_Banking_Booklet_page_20,MAPS_TO_IT_HANDBOOK,"FFIEC E-Banking Booklet, page 20"
C001_S005,HB_FFIEC_Business_Continuity_Planning_Booklet_page_J_12,MAPS_TO_IT_HANDBOOK,"FFIEC Business Continuity Planning Booklet, page J-12"
C002_S001,HB_FFIEC_Information_Security_Booklet_page_3,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 3"
C002_S002,HB_FFIEC_Information_Security_Booklet_page_16,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page, 16"
C002_S003,HB_FFIEC_E_Banking_Booklet_page_28,MAPS_TO_IT_HANDBOOK,"FFIEC E-Banking Booklet, page 28"
C002_S004,HB_FFIEC_Information_Security_Booklet_page_16,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 16"
C002_S005,HB_FFIEC_Outsourcing_Booklet_page_2,MAPS_TO_IT_HANDBOOK,"FFIEC Outsourcing Booklet, page 2"
C002_S006,HB_FFIEC_Information_Security_Booklet_page_83,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 83"
C002_S007,HB_FFIEC_Information_Security_Booklet_page_7,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 7"
C003_S001,HB_FFIEC_Information_Security_Booklet_page_9,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 9"
C003_S002,HB_FFIEC_Information_Security_Booklet_page_12,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 12"
C003_S003,HB_FFIEC_Information_Security_Booklet_page_9,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 9"
C003_S004,HB_FFIEC_Information_Security_Booklet_page_56,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 56"
C004_S001,HB_FFIEC_Information_Security_Booklet_page_68,MAPS_TO_IT_HANDBOOK,"FFIEC Information Security Booklet, page 68"
